Name,Num_Patterns,n,p,p_miss,Most_Frequent_Count,Least_Frequent_Count,Fully_Observed_Count,Good_Turing_Prob
COUNT-loomis,4,384,9,9,342,4,342,0
Ecdat-MCAS,3,180,13,2,155,8,155,0
Ecdat-Males,2,4360,37,4,3115,1245,3115,0
Ecdat-Mofa,2,50,53,1,43,7,43,0
Ecdat-RetSchool,8,3078,37,4,2259,1,2259,0.000649772579597141
Ecdat-Schooling,9,3010,51,10,2033,1,2033,0.000664451827242525
MASS-Cars93,3,93,64,2,82,2,82,0
MASS-Pima.tr2,6,300,7,3,200,1,200,0.006666666666666667
MASS-survey,8,237,24,23,168,1,168,0.016877637130801686
Zelig-coalition2,2,314,24,14,304,10,304,0
arrhythmia,7,452,391,5,352,1,68,0.004424778761061947
auto-mpg,2,398,13,1,392,6,392,0
automobile,7,205,69,8,159,1,159,0.00975609756097561
boot-neuro,9,469,6,5,276,1,4,0.0021321961620469083
breast-cancer,3,286,41,7,277,1,277,0.0034965034965034965
breast-cancer-wisconsin-original,2,699,9,1,683,16,683,0
breast-cancer-wisconsin-prognostic,2,198,32,1,194,4,194,0
car-Chile,7,2532,14,6,2431,1,2431,0.0007898894154818325
car-Davis,4,200,6,2,181,2,181,0
car-Freedman,2,110,4,2,100,10,100,0
car-Hartnagel,2,37,8,2,33,4,33,0
car-SLID,8,7425,8,5,3987,24,3987,0
cluster-plantTraits,16,136,68,39,78,1,78,0.04411764705882353
communities-and-crime,4,1994,126,25,1674,1,265,0.0005015045135406219
communities-and-crime-2,4,2215,129,25,1871,1,276,0.0004514672686230248
congressional-voting-records,60,435,32,32,232,1,232,0.09655172413793103
credit-approval,7,690,46,42,653,1,653,0.002898550724637681
cylinder-bands,68,540,868,55,277,1,277,0.07222222222222222
datasets-airquality,4,153,4,2,111,2,111,0
dermatology,2,366,130,1,358,8,358,0
echocardiogram,13,132,8,8,107,1,107,0.05303030303030303
ggplot2-movies,2,58788,34,1,53573,5215,5215,0
ggplot2-msleep,15,83,35,32,20,1,20,0.04819277108433735
heart-disease-cleveland,3,303,28,8,297,2,297,0
heart-disease-hungarian,16,294,25,20,150,1,1,0.027210884353741496
heart-disease-switzerland,12,123,26,21,43,1,0,0.04065040650406504
heart-disease-va,18,200,25,17,70,1,1,0.045
hepatitis,21,155,32,25,80,1,80,0.07741935483870968
horse-colic,171,300,60,59,16,1,6,0.42
indian-liver-patient,2,583,11,1,579,4,579,0
lung-cancer,3,32,157,33,27,1,27,0.03125
mammographic-mass,9,961,15,15,830,1,830,0.002081165452653486
mlmRev-Gcsemv,3,1905,77,2,1523,180,1523,0
mlmRev-star,19,24613,122,74,23200,1,23200,0.0002031446796408402
mushroom,2,8124,116,4,5644,2480,5644,0
ozone-level-detection-eight,140,2534,72,72,1847,1,1847,0.04025256511444357
ozone-level-detection-one,140,2536,72,72,1848,1,1848,0.04022082018927445
plyr-baseball,18,21699,296,23,14165,1,14165,9217014608968155e-20
post-operative-patient,2,90,23,4,87,3,87,0
pscl-politicalInformation,3,1800,1440,1432,1790,2,1790,0
reshape2-french_fries,4,696,9,5,691,1,691,0.0028735632183908046
robustbase-ambientNOxCH,45,366,13,13,239,1,239,0.08469945355191257
rpart-car.test.frame,2,60,81,1,49,11,49,0
rpart-stagec,4,146,15,5,134,2,134,0
sem-Tests,8,32,6,6,16,1,16,0.09375
shuttle-landing-control,6,15,16,16,6,1,6,0.13333333333333333
sleep,8,62,10,5,42,1,42,0.03225806451612903
soybean-large,8,307,98,98,266,1,266,0.006514657980456026
survival-cancer,8,228,13,8,168,1,168,0.013157894736842105
survival-mgus,11,241,15,5,143,1,44,0.016597510373443983
survival-pbc,8,418,27,24,276,2,276,0
thyroid-disease-allbp,25,2800,52,52,1947,1,1947,0.002142857142857143
thyroid-disease-allhyper,25,2800,52,52,1947,1,1947,0.002142857142857143
thyroid-disease-allhypo,25,2800,52,52,1947,1,1947,0.002142857142857143
thyroid-disease-allrep,25,2800,52,52,1947,1,1947,0.002142857142857143
thyroid-disease-dis,25,2800,52,52,1947,1,1947,0.002142857142857143
thyroid-disease-sick,25,2800,52,52,1947,1,1947,0.002142857142857143
thyroid-disease-sick-euthyroid,23,3163,43,43,1998,1,2,0.0018969332911792601
thyroid-disease-thyroid-0387,35,9172,55,54,5769,1,20,0.0008722197993894462
trains,4,10,77,22,3,1,3,0.1
wiki4he,236,913,73,68,259,1,176,0.21139101861993428
