dataset,copynum,penalty,iter,method,osr2
arrhythmia,19,1,1,Impute then regress,0.5623663118460913
arrhythmia,19,1,1,Augmented,0.5255217486722139
arrhythmia,19,1,1,Augmented Affine,0.4577555618104421
arrhythmia,19,1,2,Impute then regress,0.7157388839081396
arrhythmia,19,1,2,Augmented,0.7080688738842589
arrhythmia,19,1,2,Augmented Affine,0.6855595186095428
arrhythmia,19,1,3,Impute then regress,0.7314478469806297
arrhythmia,19,1,3,Augmented,0.7410597732239608
arrhythmia,19,1,3,Augmented Affine,0.7164690537297347
arrhythmia,19,1,4,Impute then regress,0.597713639881623
arrhythmia,19,1,4,Augmented,0.6141063644161298
arrhythmia,19,1,4,Augmented Affine,0.5534721413673775
arrhythmia,19,1,5,Impute then regress,0.711583475068797
arrhythmia,19,1,5,Augmented,0.6830260621458704
arrhythmia,19,1,5,Augmented Affine,0.7013005822660381
arrhythmia,19,2,1,Impute then regress,0.522172420880987
arrhythmia,19,2,1,Augmented,0.48691000585624655
arrhythmia,19,2,1,Augmented Affine,0.4599229901779469
arrhythmia,19,2,2,Impute then regress,0.546017661730603
arrhythmia,19,2,2,Augmented,0.4885417081432366
arrhythmia,19,2,2,Augmented Affine,0.5085737574652626
arrhythmia,19,2,3,Impute then regress,0.6351052210184065
arrhythmia,19,2,3,Augmented,0.6892401368759329
arrhythmia,19,2,3,Augmented Affine,0.6694103859191505
arrhythmia,19,2,4,Impute then regress,0.7147156065950295
arrhythmia,19,2,4,Augmented,0.7512150617140272
arrhythmia,19,2,4,Augmented Affine,0.7147919882804171
arrhythmia,19,2,5,Impute then regress,0.7026071609656113
arrhythmia,19,2,5,Augmented,0.6557608704558688
arrhythmia,19,2,5,Augmented Affine,0.6350490851660795
arrhythmia,19,4,1,Impute then regress,0.712628286642142
arrhythmia,19,4,1,Augmented,0.7179192102059928
arrhythmia,19,4,1,Augmented Affine,0.7169669628451104
arrhythmia,19,4,2,Impute then regress,0.6179177441674312
arrhythmia,19,4,2,Augmented,0.5559088499681654
arrhythmia,19,4,2,Augmented Affine,0.6350578365577823
arrhythmia,19,4,3,Impute then regress,0.6500136300441341
arrhythmia,19,4,3,Augmented,0.6873729588882361
arrhythmia,19,4,3,Augmented Affine,0.6823407473289036
arrhythmia,19,4,4,Impute then regress,0.6667952454191164
arrhythmia,19,4,4,Augmented,0.6786258534033058
arrhythmia,19,4,4,Augmented Affine,0.6922867286189655
arrhythmia,19,4,5,Impute then regress,0.7892289914928128
arrhythmia,19,4,5,Augmented,0.8389645150689209
arrhythmia,19,4,5,Augmented Affine,0.8392537976339425
arrhythmia,19,8,1,Impute then regress,0.48884463994534955
arrhythmia,19,8,1,Augmented,0.5270401683387103
arrhythmia,19,8,1,Augmented Affine,0.5290481124609936
arrhythmia,19,8,2,Impute then regress,0.5705237216087928
arrhythmia,19,8,2,Augmented,0.5647361028265929
arrhythmia,19,8,2,Augmented Affine,0.5617118895374688
arrhythmia,19,8,3,Impute then regress,0.7303553920084207
arrhythmia,19,8,3,Augmented,0.7322415600892558
arrhythmia,19,8,3,Augmented Affine,0.7344458636977556
arrhythmia,19,8,4,Impute then regress,0.5697733930271858
arrhythmia,19,8,4,Augmented,0.5607063735104549
arrhythmia,19,8,4,Augmented Affine,0.5486627830412476
arrhythmia,19,8,5,Impute then regress,0.7175720032350625
arrhythmia,19,8,5,Augmented,0.6519735290625108
arrhythmia,19,8,5,Augmented Affine,0.7086527159999911
arrhythmia,19,16,1,Impute then regress,0.6180801775000735
arrhythmia,19,16,1,Augmented,0.6388534573971063
arrhythmia,19,16,1,Augmented Affine,0.6384173302479994
arrhythmia,19,16,2,Impute then regress,0.7504771714677955
arrhythmia,19,16,2,Augmented,0.7247756904324852
arrhythmia,19,16,2,Augmented Affine,0.7247756904324862
arrhythmia,19,16,3,Impute then regress,0.7894877517456567
arrhythmia,19,16,3,Augmented,0.8088596060498063
arrhythmia,19,16,3,Augmented Affine,0.808859606049806
arrhythmia,19,16,4,Impute then regress,0.5173952763750524
arrhythmia,19,16,4,Augmented,0.4830568557316356
arrhythmia,19,16,4,Augmented Affine,0.5961737349093662
arrhythmia,19,16,5,Impute then regress,0.6748235621156753
arrhythmia,19,16,5,Augmented,0.7018924445565462
arrhythmia,19,16,5,Augmented Affine,0.7018924445565468
