dataset,copynum,penalty,iter,method,osr2
arrhythmia,7,1,1,Impute then regress,0.6338543834467868
arrhythmia,7,1,1,Augmented,0.6879764426760263
arrhythmia,7,1,1,Augmented Affine,0.5122368626638347
arrhythmia,7,1,2,Impute then regress,0.7088275099834278
arrhythmia,7,1,2,Augmented,0.7015497470772031
arrhythmia,7,1,2,Augmented Affine,0.725509046816627
arrhythmia,7,1,3,Impute then regress,0.7304515560221185
arrhythmia,7,1,3,Augmented,0.7393020034261181
arrhythmia,7,1,3,Augmented Affine,0.6827189106122172
arrhythmia,7,1,4,Impute then regress,0.5007834969758077
arrhythmia,7,1,4,Augmented,0.4942281861922855
arrhythmia,7,1,4,Augmented Affine,0.5195781879637984
arrhythmia,7,1,5,Impute then regress,0.3528226777368596
arrhythmia,7,1,5,Augmented,0.39126027133958763
arrhythmia,7,1,5,Augmented Affine,0.4206991603151161
arrhythmia,7,2,1,Impute then regress,0.7583783592698163
arrhythmia,7,2,1,Augmented,0.7520891725249497
arrhythmia,7,2,1,Augmented Affine,0.7000131080844265
arrhythmia,7,2,2,Impute then regress,0.6559482947103601
arrhythmia,7,2,2,Augmented,0.6482023734811542
arrhythmia,7,2,2,Augmented Affine,0.6558166378172943
arrhythmia,7,2,3,Impute then regress,0.6787210209836143
arrhythmia,7,2,3,Augmented,0.6773385716342087
arrhythmia,7,2,3,Augmented Affine,0.6687657358783324
arrhythmia,7,2,4,Impute then regress,0.6946118209972061
arrhythmia,7,2,4,Augmented,0.6854066509281795
arrhythmia,7,2,4,Augmented Affine,0.19076380331830722
arrhythmia,7,2,5,Impute then regress,0.5643065733241599
arrhythmia,7,2,5,Augmented,0.5703833169442327
arrhythmia,7,2,5,Augmented Affine,0.5500830058668382
arrhythmia,7,4,1,Impute then regress,0.5628684629324543
arrhythmia,7,4,1,Augmented,0.5563350239545864
arrhythmia,7,4,1,Augmented Affine,0.58905253582315
arrhythmia,7,4,2,Impute then regress,0.7390390526149633
arrhythmia,7,4,2,Augmented,0.7351628909056185
arrhythmia,7,4,2,Augmented Affine,0.7290241327330509
arrhythmia,7,4,3,Impute then regress,0.7707577396918598
arrhythmia,7,4,3,Augmented,0.7867884310289627
arrhythmia,7,4,3,Augmented Affine,0.7867884310289636
arrhythmia,7,4,4,Impute then regress,0.6501342934704698
arrhythmia,7,4,4,Augmented,0.6771536370852544
arrhythmia,7,4,4,Augmented Affine,0.6772243410370927
arrhythmia,7,4,5,Impute then regress,0.5297286869283387
arrhythmia,7,4,5,Augmented,0.5215212213820907
arrhythmia,7,4,5,Augmented Affine,0.5205116928818916
arrhythmia,7,8,1,Impute then regress,0.8078186324497806
arrhythmia,7,8,1,Augmented,0.7856921332950059
arrhythmia,7,8,1,Augmented Affine,0.7856921332950046
arrhythmia,7,8,2,Impute then regress,0.6290952757432542
arrhythmia,7,8,2,Augmented,0.6452603792049462
arrhythmia,7,8,2,Augmented Affine,0.6236756548283073
arrhythmia,7,8,3,Impute then regress,0.6444630614234326
arrhythmia,7,8,3,Augmented,0.6610656223754712
arrhythmia,7,8,3,Augmented Affine,0.6610656223754705
arrhythmia,7,8,4,Impute then regress,0.8265427710993701
arrhythmia,7,8,4,Augmented,0.8074364771224245
arrhythmia,7,8,4,Augmented Affine,0.8074364771224247
arrhythmia,7,8,5,Impute then regress,0.4961895773893992
arrhythmia,7,8,5,Augmented,0.49440332333631776
arrhythmia,7,8,5,Augmented Affine,0.5263991158762713
arrhythmia,7,16,1,Impute then regress,0.6806768827563323
arrhythmia,7,16,1,Augmented,0.6766524467021824
arrhythmia,7,16,1,Augmented Affine,0.6762435771125912
arrhythmia,7,16,2,Impute then regress,0.7459520181279449
arrhythmia,7,16,2,Augmented,0.7317294653481169
arrhythmia,7,16,2,Augmented Affine,0.7317294653481168
arrhythmia,7,16,3,Impute then regress,0.7249248924662377
arrhythmia,7,16,3,Augmented,0.7126116580947619
arrhythmia,7,16,3,Augmented Affine,0.7126116580947615
arrhythmia,7,16,4,Impute then regress,0.6638688695688137
arrhythmia,7,16,4,Augmented,0.6910362730293278
arrhythmia,7,16,4,Augmented Affine,0.6910362730293277
arrhythmia,7,16,5,Impute then regress,0.6610737508370856
arrhythmia,7,16,5,Augmented,0.679240745410135
arrhythmia,7,16,5,Augmented Affine,0.676762891998357
