dataset,copynum,penalty,iter,method,osr2
auto-mpg,1,1,1,Impute then regress,0.9538645526625459
auto-mpg,1,1,1,Augmented,0.9550330824858885
auto-mpg,1,1,1,Augmented Affine,0.9543248304436418
auto-mpg,1,1,2,Impute then regress,0.7550883397075323
auto-mpg,1,1,2,Augmented,0.755111467078161
auto-mpg,1,1,2,Augmented Affine,0.756574098902879
auto-mpg,1,1,3,Impute then regress,0.9408797155711314
auto-mpg,1,1,3,Augmented,0.9407908852035476
auto-mpg,1,1,3,Augmented Affine,0.9398357746393466
auto-mpg,1,1,4,Impute then regress,0.9167797455161838
auto-mpg,1,1,4,Augmented,0.916635545946367
auto-mpg,1,1,4,Augmented Affine,0.9168926741714007
auto-mpg,1,1,5,Impute then regress,0.8940088653572492
auto-mpg,1,1,5,Augmented,0.8938923861574479
auto-mpg,1,1,5,Augmented Affine,0.8933960772334285
auto-mpg,1,2,1,Impute then regress,0.9204041701950189
auto-mpg,1,2,1,Augmented,0.9202279648152754
auto-mpg,1,2,1,Augmented Affine,0.9200244146852173
auto-mpg,1,2,2,Impute then regress,0.9313044236287039
auto-mpg,1,2,2,Augmented,0.931291611286044
auto-mpg,1,2,2,Augmented Affine,0.9319855679413559
auto-mpg,1,2,3,Impute then regress,0.9252106917676188
auto-mpg,1,2,3,Augmented,0.9246057498079895
auto-mpg,1,2,3,Augmented Affine,0.9255818788114366
auto-mpg,1,2,4,Impute then regress,0.9421091260176131
auto-mpg,1,2,4,Augmented,0.9423068868710741
auto-mpg,1,2,4,Augmented Affine,0.9416352553746568
auto-mpg,1,2,5,Impute then regress,0.9397969425892829
auto-mpg,1,2,5,Augmented,0.9399811808293682
auto-mpg,1,2,5,Augmented Affine,0.9400451611310483
auto-mpg,1,4,1,Impute then regress,0.9388766510004751
auto-mpg,1,4,1,Augmented,0.9394714224595346
auto-mpg,1,4,1,Augmented Affine,0.9393789405653653
auto-mpg,1,4,2,Impute then regress,0.92687219633019
auto-mpg,1,4,2,Augmented,0.9256941637328809
auto-mpg,1,4,2,Augmented Affine,0.9261898722944213
auto-mpg,1,4,3,Impute then regress,0.9380821556090874
auto-mpg,1,4,3,Augmented,0.9386833319956803
auto-mpg,1,4,3,Augmented Affine,0.939110176771189
auto-mpg,1,4,4,Impute then regress,0.9058465349730441
auto-mpg,1,4,4,Augmented,0.9056812561152888
auto-mpg,1,4,4,Augmented Affine,0.9057040184590089
auto-mpg,1,4,5,Impute then regress,0.9306603652584069
auto-mpg,1,4,5,Augmented,0.93072059206426
auto-mpg,1,4,5,Augmented Affine,0.9307033292376501
auto-mpg,1,8,1,Impute then regress,0.9389120044016707
auto-mpg,1,8,1,Augmented,0.9383960273082181
auto-mpg,1,8,1,Augmented Affine,0.938433301157531
auto-mpg,1,8,2,Impute then regress,0.8786676642460376
auto-mpg,1,8,2,Augmented,0.8780356627227776
auto-mpg,1,8,2,Augmented Affine,0.8784813451025892
auto-mpg,1,8,3,Impute then regress,0.9211765656516346
auto-mpg,1,8,3,Augmented,0.9194399171148175
auto-mpg,1,8,3,Augmented Affine,0.9194146362222281
auto-mpg,1,8,4,Impute then regress,0.9251017369730138
auto-mpg,1,8,4,Augmented,0.9265586910767778
auto-mpg,1,8,4,Augmented Affine,0.9266778185346435
auto-mpg,1,8,5,Impute then regress,0.8493233460372069
auto-mpg,1,8,5,Augmented,0.8495423986352318
auto-mpg,1,8,5,Augmented Affine,0.8499511251556815
auto-mpg,1,16,1,Impute then regress,0.9352247620694272
auto-mpg,1,16,1,Augmented,0.9347559708159041
auto-mpg,1,16,1,Augmented Affine,0.9351502251509104
auto-mpg,1,16,2,Impute then regress,0.9324457981047322
auto-mpg,1,16,2,Augmented,0.9323124432331696
auto-mpg,1,16,2,Augmented Affine,0.9323124432331698
auto-mpg,1,16,3,Impute then regress,0.8924461718947272
auto-mpg,1,16,3,Augmented,0.8918987625343431
auto-mpg,1,16,3,Augmented Affine,0.8919153239302585
auto-mpg,1,16,4,Impute then regress,0.9495630312278363
auto-mpg,1,16,4,Augmented,0.9495399574034569
auto-mpg,1,16,4,Augmented Affine,0.9496032211993573
auto-mpg,1,16,5,Impute then regress,0.9244008687880484
auto-mpg,1,16,5,Augmented,0.9246030460222071
auto-mpg,1,16,5,Augmented Affine,0.9243582509403978
