dataset,copynum,penalty,iter,method,osr2
breast-cancer-wisconsin-prognostic,19,1,1,Impute then regress,0.9153755340399883
breast-cancer-wisconsin-prognostic,19,1,1,Augmented,0.91546343469288
breast-cancer-wisconsin-prognostic,19,1,1,Augmented Affine,0.9154265831135372
breast-cancer-wisconsin-prognostic,19,1,2,Impute then regress,0.9023443550701531
breast-cancer-wisconsin-prognostic,19,1,2,Augmented,0.8987489521565544
breast-cancer-wisconsin-prognostic,19,1,2,Augmented Affine,0.8932957086379062
breast-cancer-wisconsin-prognostic,19,1,3,Impute then regress,0.9269351570159683
breast-cancer-wisconsin-prognostic,19,1,3,Augmented,0.9187013725828995
breast-cancer-wisconsin-prognostic,19,1,3,Augmented Affine,0.929051201521453
breast-cancer-wisconsin-prognostic,19,1,4,Impute then regress,0.9254369666044407
breast-cancer-wisconsin-prognostic,19,1,4,Augmented,0.9185041471741942
breast-cancer-wisconsin-prognostic,19,1,4,Augmented Affine,0.9114808079898946
breast-cancer-wisconsin-prognostic,19,1,5,Impute then regress,0.922462054522613
breast-cancer-wisconsin-prognostic,19,1,5,Augmented,0.9224804079028383
breast-cancer-wisconsin-prognostic,19,1,5,Augmented Affine,0.9228855472889381
breast-cancer-wisconsin-prognostic,19,2,1,Impute then regress,0.9376662904303765
breast-cancer-wisconsin-prognostic,19,2,1,Augmented,0.9376382488889708
breast-cancer-wisconsin-prognostic,19,2,1,Augmented Affine,0.9380606388478742
breast-cancer-wisconsin-prognostic,19,2,2,Impute then regress,0.8739295223612142
breast-cancer-wisconsin-prognostic,19,2,2,Augmented,0.8728321060536423
breast-cancer-wisconsin-prognostic,19,2,2,Augmented Affine,0.8663549368375751
breast-cancer-wisconsin-prognostic,19,2,3,Impute then regress,0.9198293281189158
breast-cancer-wisconsin-prognostic,19,2,3,Augmented,0.9204323504313829
breast-cancer-wisconsin-prognostic,19,2,3,Augmented Affine,0.9189700209937623
breast-cancer-wisconsin-prognostic,19,2,4,Impute then regress,0.8761541204349398
breast-cancer-wisconsin-prognostic,19,2,4,Augmented,0.8973032680495869
breast-cancer-wisconsin-prognostic,19,2,4,Augmented Affine,0.8985590498093171
breast-cancer-wisconsin-prognostic,19,2,5,Impute then regress,0.9143359162764273
breast-cancer-wisconsin-prognostic,19,2,5,Augmented,0.914298907802798
breast-cancer-wisconsin-prognostic,19,2,5,Augmented Affine,0.9133810894130315
breast-cancer-wisconsin-prognostic,19,4,1,Impute then regress,0.9251630199255477
breast-cancer-wisconsin-prognostic,19,4,1,Augmented,0.9243784324612558
breast-cancer-wisconsin-prognostic,19,4,1,Augmented Affine,0.9208449628919747
breast-cancer-wisconsin-prognostic,19,4,2,Impute then regress,0.9102832756142402
breast-cancer-wisconsin-prognostic,19,4,2,Augmented,0.9110957250523319
breast-cancer-wisconsin-prognostic,19,4,2,Augmented Affine,0.9110957250523322
breast-cancer-wisconsin-prognostic,19,4,3,Impute then regress,0.9057474825524789
breast-cancer-wisconsin-prognostic,19,4,3,Augmented,0.9055864601562211
breast-cancer-wisconsin-prognostic,19,4,3,Augmented Affine,0.9059990479964866
breast-cancer-wisconsin-prognostic,19,4,4,Impute then regress,0.9261810668015934
breast-cancer-wisconsin-prognostic,19,4,4,Augmented,0.9260737199999508
breast-cancer-wisconsin-prognostic,19,4,4,Augmented Affine,0.9261290866609456
breast-cancer-wisconsin-prognostic,19,4,5,Impute then regress,0.9023902620688414
breast-cancer-wisconsin-prognostic,19,4,5,Augmented,0.9056140466972616
breast-cancer-wisconsin-prognostic,19,4,5,Augmented Affine,0.9039712600891044
breast-cancer-wisconsin-prognostic,19,8,1,Impute then regress,0.9325413447814671
breast-cancer-wisconsin-prognostic,19,8,1,Augmented,0.9341530211325912
breast-cancer-wisconsin-prognostic,19,8,1,Augmented Affine,0.9320535365437501
breast-cancer-wisconsin-prognostic,19,8,2,Impute then regress,0.8407968723517777
breast-cancer-wisconsin-prognostic,19,8,2,Augmented,0.8444663350589767
breast-cancer-wisconsin-prognostic,19,8,2,Augmented Affine,0.8455208664329866
breast-cancer-wisconsin-prognostic,19,8,3,Impute then regress,0.9180468562806392
breast-cancer-wisconsin-prognostic,19,8,3,Augmented,0.9183720070074278
breast-cancer-wisconsin-prognostic,19,8,3,Augmented Affine,0.9184514871467058
breast-cancer-wisconsin-prognostic,19,8,4,Impute then regress,0.9047902919393429
breast-cancer-wisconsin-prognostic,19,8,4,Augmented,0.9041852331863859
breast-cancer-wisconsin-prognostic,19,8,4,Augmented Affine,0.9045276880222621
breast-cancer-wisconsin-prognostic,19,8,5,Impute then regress,0.840793463191007
breast-cancer-wisconsin-prognostic,19,8,5,Augmented,0.837437228506585
breast-cancer-wisconsin-prognostic,19,8,5,Augmented Affine,0.8386442747874056
breast-cancer-wisconsin-prognostic,19,16,1,Impute then regress,0.9120214799273517
breast-cancer-wisconsin-prognostic,19,16,1,Augmented,0.9127078248900102
breast-cancer-wisconsin-prognostic,19,16,1,Augmented Affine,0.9130439727174209
breast-cancer-wisconsin-prognostic,19,16,2,Impute then regress,0.9043026168603481
breast-cancer-wisconsin-prognostic,19,16,2,Augmented,0.9048400595474129
