dataset,copynum,penalty,iter,method,osr2
credit-approval,9,1,1,Impute then regress,0.8164778972255601
credit-approval,9,1,1,Augmented,0.8174948679270353
credit-approval,9,1,1,Augmented Affine,0.8172062941816326
credit-approval,9,1,2,Impute then regress,0.9395881558088339
credit-approval,9,1,2,Augmented,0.9385970159946726
credit-approval,9,1,2,Augmented Affine,0.9396246600904061
credit-approval,9,1,3,Impute then regress,0.9134344024082475
credit-approval,9,1,3,Augmented,0.9057645692678996
credit-approval,9,1,3,Augmented Affine,0.8929998409526018
credit-approval,9,1,4,Impute then regress,0.8818103074700373
credit-approval,9,1,4,Augmented,0.877334065364628
credit-approval,9,1,4,Augmented Affine,0.8618209540631528
credit-approval,9,1,5,Impute then regress,0.9155981067331096
credit-approval,9,1,5,Augmented,0.9131572984931361
credit-approval,9,1,5,Augmented Affine,0.9060243337961099
credit-approval,9,2,1,Impute then regress,0.8682753129092462
credit-approval,9,2,1,Augmented,0.8707239630734414
credit-approval,9,2,1,Augmented Affine,0.862071010813252
credit-approval,9,2,2,Impute then regress,0.8596961606982143
credit-approval,9,2,2,Augmented,0.8493890456974823
credit-approval,9,2,2,Augmented Affine,0.8318543264731526
credit-approval,9,2,3,Impute then regress,0.8902480661639799
credit-approval,9,2,3,Augmented,0.8751863472394763
credit-approval,9,2,3,Augmented Affine,0.8772592725841486
credit-approval,9,2,4,Impute then regress,0.8882583253698197
credit-approval,9,2,4,Augmented,0.8705074339375931
credit-approval,9,2,4,Augmented Affine,0.8766081482132089
credit-approval,9,2,5,Impute then regress,0.9362447100505373
credit-approval,9,2,5,Augmented,0.9295606046008406
credit-approval,9,2,5,Augmented Affine,0.9305682943883673
credit-approval,9,4,1,Impute then regress,0.9448931667808644
credit-approval,9,4,1,Augmented,0.9480169065698479
credit-approval,9,4,1,Augmented Affine,0.9455546219927357
credit-approval,9,4,2,Impute then regress,0.9517233292628916
credit-approval,9,4,2,Augmented,0.9545867409495661
credit-approval,9,4,2,Augmented Affine,0.9528478718961368
credit-approval,9,4,3,Impute then regress,0.372134752261555
credit-approval,9,4,3,Augmented,0.7810815412829187
credit-approval,9,4,3,Augmented Affine,0.7616156124518979
credit-approval,9,4,4,Impute then regress,0.8742004865709586
credit-approval,9,4,4,Augmented,0.8837208122213089
credit-approval,9,4,4,Augmented Affine,0.8820013335597958
credit-approval,9,4,5,Impute then regress,0.7449295995362208
credit-approval,9,4,5,Augmented,0.746345615397159
credit-approval,9,4,5,Augmented Affine,0.7464460685258155
credit-approval,9,8,1,Impute then regress,0.9306220741097331
credit-approval,9,8,1,Augmented,0.9370592188667602
credit-approval,9,8,1,Augmented Affine,0.9348215402478872
credit-approval,9,8,2,Impute then regress,0.9011711679213917
credit-approval,9,8,2,Augmented,0.9109972553854775
credit-approval,9,8,2,Augmented Affine,0.9092854993998898
credit-approval,9,8,3,Impute then regress,0.8377121258930416
credit-approval,9,8,3,Augmented,0.8448625125315488
credit-approval,9,8,3,Augmented Affine,0.8330746947017877
credit-approval,9,8,4,Impute then regress,0.8996179106512012
credit-approval,9,8,4,Augmented,0.9127775799020165
credit-approval,9,8,4,Augmented Affine,0.9042231960203612
credit-approval,9,8,5,Impute then regress,0.9129986864908353
credit-approval,9,8,5,Augmented,0.9151942730159912
credit-approval,9,8,5,Augmented Affine,0.9075169013578752
credit-approval,9,16,1,Impute then regress,0.9453270222783603
credit-approval,9,16,1,Augmented,0.9406813868452008
credit-approval,9,16,1,Augmented Affine,0.9406813868452008
credit-approval,9,16,2,Impute then regress,0.8933776593139935
credit-approval,9,16,2,Augmented,0.901080922638142
credit-approval,9,16,2,Augmented Affine,0.8812164176568359
credit-approval,9,16,3,Impute then regress,0.9055738707089136
credit-approval,9,16,3,Augmented,0.9167843987336781
credit-approval,9,16,3,Augmented Affine,0.9132193884769266
credit-approval,9,16,4,Impute then regress,0.8313763088012041
credit-approval,9,16,4,Augmented,0.8294421902439318
credit-approval,9,16,4,Augmented Affine,0.8185100240970065
credit-approval,9,16,5,Impute then regress,0.9157407535345993
credit-approval,9,16,5,Augmented,0.9256187790636675
credit-approval,9,16,5,Augmented Affine,0.9147000673857525
