dataset,copynum,penalty,iter,method,osr2
dermatology,20,1,1,Impute then regress,0.9287485599631045
dermatology,20,1,1,Augmented,0.9277191559974249
dermatology,20,1,1,Augmented Affine,0.9297552807731325
dermatology,20,1,2,Impute then regress,0.9230942094663013
dermatology,20,1,2,Augmented,0.9165521057901321
dermatology,20,1,2,Augmented Affine,0.9315696057041546
dermatology,20,1,3,Impute then regress,0.9377454350063911
dermatology,20,1,3,Augmented,0.9381548516740894
dermatology,20,1,3,Augmented Affine,0.9383845698212239
dermatology,20,1,4,Impute then regress,0.935516903584438
dermatology,20,1,4,Augmented,0.9380957766925583
dermatology,20,1,4,Augmented Affine,0.9385446497193718
dermatology,20,1,5,Impute then regress,0.928945906591427
dermatology,20,1,5,Augmented,0.9268003990363873
dermatology,20,1,5,Augmented Affine,0.9039066649832482
dermatology,20,2,1,Impute then regress,0.9244279082518443
dermatology,20,2,1,Augmented,0.9249291396747245
dermatology,20,2,1,Augmented Affine,0.9263774245859869
dermatology,20,2,2,Impute then regress,0.9370380002156471
dermatology,20,2,2,Augmented,0.9376499484517029
dermatology,20,2,2,Augmented Affine,0.9332642297695978
dermatology,20,2,3,Impute then regress,0.9305950499812424
dermatology,20,2,3,Augmented,0.9285460927325813
dermatology,20,2,3,Augmented Affine,0.9285369197628749
dermatology,20,2,4,Impute then regress,0.9349463964776215
dermatology,20,2,4,Augmented,0.9343551221285681
dermatology,20,2,4,Augmented Affine,0.9373299064305768
dermatology,20,2,5,Impute then regress,0.9201473827469084
dermatology,20,2,5,Augmented,0.9196120900952974
dermatology,20,2,5,Augmented Affine,0.9196777299676474
dermatology,20,4,1,Impute then regress,0.9382189106749461
dermatology,20,4,1,Augmented,0.9349555728146822
dermatology,20,4,1,Augmented Affine,0.9351669626274635
dermatology,20,4,2,Impute then regress,0.9461000239987603
dermatology,20,4,2,Augmented,0.9460574800467144
dermatology,20,4,2,Augmented Affine,0.9459298922767376
dermatology,20,4,3,Impute then regress,0.9246601669399118
dermatology,20,4,3,Augmented,0.9216132999782743
dermatology,20,4,3,Augmented Affine,0.9200864807474276
dermatology,20,4,4,Impute then regress,0.9287572854262983
dermatology,20,4,4,Augmented,0.9256830066988302
dermatology,20,4,4,Augmented Affine,0.923624378105356
dermatology,20,4,5,Impute then regress,0.9075210543439995
dermatology,20,4,5,Augmented,0.9184604599384281
dermatology,20,4,5,Augmented Affine,0.9189101759404246
dermatology,20,8,1,Impute then regress,0.924316559460453
dermatology,20,8,1,Augmented,0.9194245989924843
dermatology,20,8,1,Augmented Affine,0.9162491530310772
dermatology,20,8,2,Impute then regress,0.9276665834364022
dermatology,20,8,2,Augmented,0.927347789452683
dermatology,20,8,2,Augmented Affine,0.9271747143489141
dermatology,20,8,3,Impute then regress,0.9231106672485027
dermatology,20,8,3,Augmented,0.9206982500388843
dermatology,20,8,3,Augmented Affine,0.9218411045416314
dermatology,20,8,4,Impute then regress,0.9482652854071879
dermatology,20,8,4,Augmented,0.9479551944802596
dermatology,20,8,4,Augmented Affine,0.9483399435544021
dermatology,20,8,5,Impute then regress,0.9430781318081698
dermatology,20,8,5,Augmented,0.9421474639804944
dermatology,20,8,5,Augmented Affine,0.9391614595136761
dermatology,20,16,1,Impute then regress,0.9409804048940222
dermatology,20,16,1,Augmented,0.9412373514047256
dermatology,20,16,1,Augmented Affine,0.9415234834881594
dermatology,20,16,2,Impute then regress,0.9207912263933903
dermatology,20,16,2,Augmented,0.9121861881891281
dermatology,20,16,2,Augmented Affine,0.9080436966598231
dermatology,20,16,3,Impute then regress,0.9211873891769071
dermatology,20,16,3,Augmented,0.9208323241890434
dermatology,20,16,3,Augmented Affine,0.9205258206721904
dermatology,20,16,4,Impute then regress,0.9422571230001608
dermatology,20,16,4,Augmented,0.9390620920124055
dermatology,20,16,4,Augmented Affine,0.9392586445611173
dermatology,20,16,5,Impute then regress,0.9322893014875031
dermatology,20,16,5,Augmented,0.9316392757128931
dermatology,20,16,5,Augmented Affine,0.9275674009076754
