dataset,copynum,penalty,iter,method,osr2
echocardiogram,1,1,1,Impute then regress,0.8381640599177891
echocardiogram,1,1,1,Augmented,0.7801256647782079
echocardiogram,1,1,1,Augmented Affine,0.7880637889983274
echocardiogram,1,1,2,Impute then regress,0.5827706014943073
echocardiogram,1,1,2,Augmented,0.7633682850032328
echocardiogram,1,1,2,Augmented Affine,0.6484418177248685
echocardiogram,1,1,3,Impute then regress,0.792787998147897
echocardiogram,1,1,3,Augmented,0.7759528156521381
echocardiogram,1,1,3,Augmented Affine,0.6071874731232273
echocardiogram,1,1,4,Impute then regress,0.9237460887551985
echocardiogram,1,1,4,Augmented,0.9027112920656174
echocardiogram,1,1,4,Augmented Affine,0.8811987707104005
echocardiogram,1,1,5,Impute then regress,0.8236550107717844
echocardiogram,1,1,5,Augmented,0.8363093764027933
echocardiogram,1,1,5,Augmented Affine,0.7591028549190089
echocardiogram,1,2,1,Impute then regress,0.7058844970108165
echocardiogram,1,2,1,Augmented,0.755931064004788
echocardiogram,1,2,1,Augmented Affine,0.6733652525435487
echocardiogram,1,2,2,Impute then regress,0.859587848100126
echocardiogram,1,2,2,Augmented,0.8337701395159964
echocardiogram,1,2,2,Augmented Affine,0.7655602221204267
echocardiogram,1,2,3,Impute then regress,0.8996569428294405
echocardiogram,1,2,3,Augmented,0.8640686387500389
echocardiogram,1,2,3,Augmented Affine,0.8821094043022115
echocardiogram,1,2,4,Impute then regress,0.8468085672090184
echocardiogram,1,2,4,Augmented,0.8847285843939341
echocardiogram,1,2,4,Augmented Affine,0.7523844531956008
echocardiogram,1,2,5,Impute then regress,0.7579944964028349
echocardiogram,1,2,5,Augmented,0.775300124729551
echocardiogram,1,2,5,Augmented Affine,0.6917465789794044
echocardiogram,1,4,1,Impute then regress,0.7667941600043311
echocardiogram,1,4,1,Augmented,0.8608605472433086
echocardiogram,1,4,1,Augmented Affine,0.7764578742736764
echocardiogram,1,4,2,Impute then regress,0.8955105117347179
echocardiogram,1,4,2,Augmented,0.7808943974675746
echocardiogram,1,4,2,Augmented Affine,0.9271934358592329
echocardiogram,1,4,3,Impute then regress,0.6423378926915428
echocardiogram,1,4,3,Augmented,0.8172756168430667
echocardiogram,1,4,3,Augmented Affine,0.7155948717380977
echocardiogram,1,4,4,Impute then regress,0.8394680388216446
echocardiogram,1,4,4,Augmented,0.858330150621686
echocardiogram,1,4,4,Augmented Affine,0.7686287047883664
echocardiogram,1,4,5,Impute then regress,0.8556718711521395
echocardiogram,1,4,5,Augmented,0.8619960066654682
echocardiogram,1,4,5,Augmented Affine,0.6671521912240306
echocardiogram,1,8,1,Impute then regress,0.8548602700165988
echocardiogram,1,8,1,Augmented,0.8185905034075983
echocardiogram,1,8,1,Augmented Affine,0.792252477915182
echocardiogram,1,8,2,Impute then regress,0.9072777117055848
echocardiogram,1,8,2,Augmented,0.9129327781736543
echocardiogram,1,8,2,Augmented Affine,0.9105139416889527
echocardiogram,1,8,3,Impute then regress,0.7014347649680093
echocardiogram,1,8,3,Augmented,0.8519853902128351
echocardiogram,1,8,3,Augmented Affine,0.7393800394747341
echocardiogram,1,8,4,Impute then regress,0.8941896702958617
echocardiogram,1,8,4,Augmented,0.8845340426347215
echocardiogram,1,8,4,Augmented Affine,0.8530073365131046
echocardiogram,1,8,5,Impute then regress,0.865366397967928
echocardiogram,1,8,5,Augmented,0.7463304379554478
echocardiogram,1,8,5,Augmented Affine,0.3917840841669835
echocardiogram,1,16,1,Impute then regress,0.5790003681415192
echocardiogram,1,16,1,Augmented,0.7477577820374364
echocardiogram,1,16,1,Augmented Affine,0.7295127679771354
echocardiogram,1,16,2,Impute then regress,0.8861924840485685
echocardiogram,1,16,2,Augmented,0.8716423604249671
echocardiogram,1,16,2,Augmented Affine,0.7972294142306431
echocardiogram,1,16,3,Impute then regress,0.7838192014188037
echocardiogram,1,16,3,Augmented,0.8493883675800005
echocardiogram,1,16,3,Augmented Affine,0.8281302056422157
echocardiogram,1,16,4,Impute then regress,0.8214161197385605
echocardiogram,1,16,4,Augmented,0.7988309763758475
echocardiogram,1,16,4,Augmented Affine,0.8036267698255294
echocardiogram,1,16,5,Impute then regress,0.9096589082416542
echocardiogram,1,16,5,Augmented,0.8526794297482571
echocardiogram,1,16,5,Augmented Affine,0.7851011716939374
