dataset,copynum,penalty,iter,method,osr2
echocardiogram,17,1,1,Impute then regress,0.8593791786385653
echocardiogram,17,1,1,Augmented,0.8328900609385349
echocardiogram,17,1,1,Augmented Affine,0.8075744393390846
echocardiogram,17,1,2,Impute then regress,0.8636277393239928
echocardiogram,17,1,2,Augmented,0.8040746861115009
echocardiogram,17,1,2,Augmented Affine,0.5062858287552556
echocardiogram,17,1,3,Impute then regress,0.8268917907575444
echocardiogram,17,1,3,Augmented,0.8672364129706843
echocardiogram,17,1,3,Augmented Affine,0.685424618373587
echocardiogram,17,1,4,Impute then regress,0.8784009521037538
echocardiogram,17,1,4,Augmented,0.9135415234083719
echocardiogram,17,1,4,Augmented Affine,0.7278754852066941
echocardiogram,17,1,5,Impute then regress,0.847760247557972
echocardiogram,17,1,5,Augmented,0.796866489417468
echocardiogram,17,1,5,Augmented Affine,0.5517169649358851
echocardiogram,17,2,1,Impute then regress,0.9272087763206733
echocardiogram,17,2,1,Augmented,0.9046031950439396
echocardiogram,17,2,1,Augmented Affine,0.8541873046178917
echocardiogram,17,2,2,Impute then regress,0.8554074369418146
echocardiogram,17,2,2,Augmented,0.8402736988782921
echocardiogram,17,2,2,Augmented Affine,0.8033363530052007
echocardiogram,17,2,3,Impute then regress,0.889699899784228
echocardiogram,17,2,3,Augmented,0.9225888245544983
echocardiogram,17,2,3,Augmented Affine,0.8871502883554778
echocardiogram,17,2,4,Impute then regress,0.8654362231912389
echocardiogram,17,2,4,Augmented,0.900679420092945
echocardiogram,17,2,4,Augmented Affine,0.6109296666581489
echocardiogram,17,2,5,Impute then regress,0.8524282644455017
echocardiogram,17,2,5,Augmented,0.9159081904626877
echocardiogram,17,2,5,Augmented Affine,0.6915135561938942
echocardiogram,17,4,1,Impute then regress,0.8050454069788243
echocardiogram,17,4,1,Augmented,0.5642027886202032
echocardiogram,17,4,1,Augmented Affine,0.3183352452421596
echocardiogram,17,4,2,Impute then regress,0.8674204770970091
echocardiogram,17,4,2,Augmented,0.8581279078602616
echocardiogram,17,4,2,Augmented Affine,0.6618334720490857
echocardiogram,17,4,3,Impute then regress,0.8774771045665782
echocardiogram,17,4,3,Augmented,0.863463404294374
echocardiogram,17,4,3,Augmented Affine,0.8143389986791836
echocardiogram,17,4,4,Impute then regress,0.9102670916311235
echocardiogram,17,4,4,Augmented,0.8901624495688301
echocardiogram,17,4,4,Augmented Affine,0.9049450047403933
echocardiogram,17,4,5,Impute then regress,0.8905944699793703
echocardiogram,17,4,5,Augmented,0.8658424818448984
echocardiogram,17,4,5,Augmented Affine,0.7349295693819111
echocardiogram,17,8,1,Impute then regress,0.858441792720074
echocardiogram,17,8,1,Augmented,0.9072980449978952
echocardiogram,17,8,1,Augmented Affine,0.885846762155164
echocardiogram,17,8,2,Impute then regress,0.927920318018187
echocardiogram,17,8,2,Augmented,0.866976424117436
echocardiogram,17,8,2,Augmented Affine,0.7117044361772553
echocardiogram,17,8,3,Impute then regress,0.893702474350906
echocardiogram,17,8,3,Augmented,0.9057745126459192
echocardiogram,17,8,3,Augmented Affine,0.8200015663492339
echocardiogram,17,8,4,Impute then regress,0.709270148866451
echocardiogram,17,8,4,Augmented,0.6033267922970166
echocardiogram,17,8,4,Augmented Affine,0.5505026171685571
echocardiogram,17,8,5,Impute then regress,0.9271955881185049
echocardiogram,17,8,5,Augmented,0.932402671778773
echocardiogram,17,8,5,Augmented Affine,0.7292074894872238
echocardiogram,17,16,1,Impute then regress,0.8481003867741781
echocardiogram,17,16,1,Augmented,0.8269827725225045
echocardiogram,17,16,1,Augmented Affine,0.6642013343769162
echocardiogram,17,16,2,Impute then regress,0.8978434604522335
echocardiogram,17,16,2,Augmented,0.8772054802019484
echocardiogram,17,16,2,Augmented Affine,0.6933746868141999
echocardiogram,17,16,3,Impute then regress,0.8700063200374939
echocardiogram,17,16,3,Augmented,0.899897544581544
echocardiogram,17,16,3,Augmented Affine,0.788497121590366
echocardiogram,17,16,4,Impute then regress,0.8516506503111047
echocardiogram,17,16,4,Augmented,0.8303713577788131
echocardiogram,17,16,4,Augmented Affine,0.37339929025344887
echocardiogram,17,16,5,Impute then regress,0.9050737623760746
echocardiogram,17,16,5,Augmented,0.8565082431505413
echocardiogram,17,16,5,Augmented Affine,0.8209794093290542
