dataset,copynum,penalty,iter,method,osr2
heart-disease-switzerland,6,1,1,Impute then regress,0.6296303316737856
heart-disease-switzerland,6,1,1,Augmented,0.6206135482942285
heart-disease-switzerland,6,1,1,Augmented Affine,0.6444608143831325
heart-disease-switzerland,6,1,2,Impute then regress,0.9045738413404736
heart-disease-switzerland,6,1,2,Augmented,0.9191173927688459
heart-disease-switzerland,6,1,2,Augmented Affine,0.9211243325908569
heart-disease-switzerland,6,1,3,Impute then regress,0.9651236635120491
heart-disease-switzerland,6,1,3,Augmented,0.9500175639286814
heart-disease-switzerland,6,1,3,Augmented Affine,0.9417257760895276
heart-disease-switzerland,6,1,4,Impute then regress,0.8792310331716273
heart-disease-switzerland,6,1,4,Augmented,0.8598214844010181
heart-disease-switzerland,6,1,4,Augmented Affine,0.8356657810911503
heart-disease-switzerland,6,1,5,Impute then regress,0.7958535826185689
heart-disease-switzerland,6,1,5,Augmented,0.8470529044075372
heart-disease-switzerland,6,1,5,Augmented Affine,0.8548475906387778
heart-disease-switzerland,6,2,1,Impute then regress,0.8458887692891395
heart-disease-switzerland,6,2,1,Augmented,0.8430430246200087
heart-disease-switzerland,6,2,1,Augmented Affine,0.8436566482611634
heart-disease-switzerland,6,2,2,Impute then regress,0.8769891284471819
heart-disease-switzerland,6,2,2,Augmented,0.8871527580661505
heart-disease-switzerland,6,2,2,Augmented Affine,0.86329500999683
heart-disease-switzerland,6,2,3,Impute then regress,0.7631231822761798
heart-disease-switzerland,6,2,3,Augmented,0.7625494550149698
heart-disease-switzerland,6,2,3,Augmented Affine,0.7320992261488178
heart-disease-switzerland,6,2,4,Impute then regress,0.914796194338846
heart-disease-switzerland,6,2,4,Augmented,0.9139085709879184
heart-disease-switzerland,6,2,4,Augmented Affine,0.900713844017368
heart-disease-switzerland,6,2,5,Impute then regress,0.9326318018346832
heart-disease-switzerland,6,2,5,Augmented,0.936905277298258
heart-disease-switzerland,6,2,5,Augmented Affine,0.9362253536596818
heart-disease-switzerland,6,4,1,Impute then regress,0.7308690732463002
heart-disease-switzerland,6,4,1,Augmented,0.7703152148330645
heart-disease-switzerland,6,4,1,Augmented Affine,0.7707756423241541
heart-disease-switzerland,6,4,2,Impute then regress,0.9195814602876509
heart-disease-switzerland,6,4,2,Augmented,0.9276257392875769
heart-disease-switzerland,6,4,2,Augmented Affine,0.9228904284374426
heart-disease-switzerland,6,4,3,Impute then regress,0.7234648081826454
heart-disease-switzerland,6,4,3,Augmented,0.8217133208862365
heart-disease-switzerland,6,4,3,Augmented Affine,0.8295791480655079
heart-disease-switzerland,6,4,4,Impute then regress,0.9508333644262514
heart-disease-switzerland,6,4,4,Augmented,0.945979549439337
heart-disease-switzerland,6,4,4,Augmented Affine,0.9458728630596709
heart-disease-switzerland,6,4,5,Impute then regress,0.7171690432666196
heart-disease-switzerland,6,4,5,Augmented,0.7703396560267641
heart-disease-switzerland,6,4,5,Augmented Affine,0.7727130276892132
heart-disease-switzerland,6,8,1,Impute then regress,0.754270493807398
heart-disease-switzerland,6,8,1,Augmented,0.7808658224645618
heart-disease-switzerland,6,8,1,Augmented Affine,0.776648558583258
heart-disease-switzerland,6,8,2,Impute then regress,0.9094271221890733
heart-disease-switzerland,6,8,2,Augmented,0.8700948253322456
heart-disease-switzerland,6,8,2,Augmented Affine,0.8877009710277
heart-disease-switzerland,6,8,3,Impute then regress,0.9412229753779641
heart-disease-switzerland,6,8,3,Augmented,0.9499557067100188
heart-disease-switzerland,6,8,3,Augmented Affine,0.9506784207201802
heart-disease-switzerland,6,8,4,Impute then regress,0.8881347025508115
heart-disease-switzerland,6,8,4,Augmented,0.8796470442199249
heart-disease-switzerland,6,8,4,Augmented Affine,0.8672042465143384
heart-disease-switzerland,6,8,5,Impute then regress,0.8320105479597184
heart-disease-switzerland,6,8,5,Augmented,0.800299689160939
heart-disease-switzerland,6,8,5,Augmented Affine,0.7971191896199938
heart-disease-switzerland,6,16,1,Impute then regress,0.9410725235697261
heart-disease-switzerland,6,16,1,Augmented,0.9304309154583186
heart-disease-switzerland,6,16,1,Augmented Affine,0.9130455201260743
heart-disease-switzerland,6,16,2,Impute then regress,0.921716025892541
heart-disease-switzerland,6,16,2,Augmented,0.9415338041967601
heart-disease-switzerland,6,16,2,Augmented Affine,0.9416501259268895
heart-disease-switzerland,6,16,3,Impute then regress,0.7645878697808842
heart-disease-switzerland,6,16,3,Augmented,0.7746376125902503
heart-disease-switzerland,6,16,3,Augmented Affine,0.7746376125902503
heart-disease-switzerland,6,16,4,Impute then regress,0.9380405652439099
heart-disease-switzerland,6,16,4,Augmented,0.9369128192479366
heart-disease-switzerland,6,16,4,Augmented Affine,0.9368865990182779
heart-disease-switzerland,6,16,5,Impute then regress,0.7822815042394007
heart-disease-switzerland,6,16,5,Augmented,0.7635581043292337
heart-disease-switzerland,6,16,5,Augmented Affine,0.8621204598217772
