dataset,copynum,penalty,iter,method,osr2
heart-disease-va,10,1,1,Impute then regress,0.7697974673137284
heart-disease-va,10,1,1,Augmented,0.821088495081284
heart-disease-va,10,1,1,Augmented Affine,0.8293282059381792
heart-disease-va,10,1,2,Impute then regress,0.9037456389378696
heart-disease-va,10,1,2,Augmented,0.9094256352318391
heart-disease-va,10,1,2,Augmented Affine,0.9051587566778208
heart-disease-va,10,1,3,Impute then regress,0.8062043911488476
heart-disease-va,10,1,3,Augmented,0.8341814277237798
heart-disease-va,10,1,3,Augmented Affine,0.7123089360148294
heart-disease-va,10,1,4,Impute then regress,0.5653308069036712
heart-disease-va,10,1,4,Augmented,0.5914706385147611
heart-disease-va,10,1,4,Augmented Affine,0.48700298437426104
heart-disease-va,10,1,5,Impute then regress,0.7424603672079952
heart-disease-va,10,1,5,Augmented,0.7921310267672116
heart-disease-va,10,1,5,Augmented Affine,0.6819158981640003
heart-disease-va,10,2,1,Impute then regress,0.6434150085551164
heart-disease-va,10,2,1,Augmented,0.7019545269554586
heart-disease-va,10,2,1,Augmented Affine,0.6631962277661272
heart-disease-va,10,2,2,Impute then regress,0.8181930894162566
heart-disease-va,10,2,2,Augmented,0.8560298925158569
heart-disease-va,10,2,2,Augmented Affine,0.8315412142785598
heart-disease-va,10,2,3,Impute then regress,0.7965729511204789
heart-disease-va,10,2,3,Augmented,0.8657212513420265
heart-disease-va,10,2,3,Augmented Affine,0.8415707882471001
heart-disease-va,10,2,4,Impute then regress,0.7003536921256623
heart-disease-va,10,2,4,Augmented,0.6371959073270412
heart-disease-va,10,2,4,Augmented Affine,0.5686897891084023
heart-disease-va,10,2,5,Impute then regress,0.4863298174440259
heart-disease-va,10,2,5,Augmented,0.5953790306444642
heart-disease-va,10,2,5,Augmented Affine,0.6397798080191138
heart-disease-va,10,4,1,Impute then regress,0.5596410886642701
heart-disease-va,10,4,1,Augmented,0.7302546905058084
heart-disease-va,10,4,1,Augmented Affine,0.7367238492329556
heart-disease-va,10,4,2,Impute then regress,0.3299968711337261
heart-disease-va,10,4,2,Augmented,0.6486532911990572
heart-disease-va,10,4,2,Augmented Affine,0.6844313255580872
heart-disease-va,10,4,3,Impute then regress,0.7006181906353672
heart-disease-va,10,4,3,Augmented,0.6709915835611238
heart-disease-va,10,4,3,Augmented Affine,0.6074175653580749
heart-disease-va,10,4,4,Impute then regress,0.7722683405401258
heart-disease-va,10,4,4,Augmented,0.829362911178658
heart-disease-va,10,4,4,Augmented Affine,0.8248072620798238
heart-disease-va,10,4,5,Impute then regress,0.5676339380086035
heart-disease-va,10,4,5,Augmented,0.7582584427511639
heart-disease-va,10,4,5,Augmented Affine,0.7001959921795881
heart-disease-va,10,8,1,Impute then regress,0.595625720148085
heart-disease-va,10,8,1,Augmented,0.6414380356179903
heart-disease-va,10,8,1,Augmented Affine,0.5962744292131654
heart-disease-va,10,8,2,Impute then regress,0.806990726138271
heart-disease-va,10,8,2,Augmented,0.9093105366329327
heart-disease-va,10,8,2,Augmented Affine,0.9162737351789569
heart-disease-va,10,8,3,Impute then regress,0.3907356129627191
heart-disease-va,10,8,3,Augmented,0.7954882882399666
heart-disease-va,10,8,3,Augmented Affine,0.8063501363180974
heart-disease-va,10,8,4,Impute then regress,0.8816804223171958
heart-disease-va,10,8,4,Augmented,0.8910810115841659
heart-disease-va,10,8,4,Augmented Affine,0.8390289060201611
heart-disease-va,10,8,5,Impute then regress,0.3592441365557484
heart-disease-va,10,8,5,Augmented,0.6070770375811188
heart-disease-va,10,8,5,Augmented Affine,0.5755490136129935
heart-disease-va,10,16,1,Impute then regress,0.5312699269226719
heart-disease-va,10,16,1,Augmented,0.7179756234771904
heart-disease-va,10,16,1,Augmented Affine,0.6646956853258996
heart-disease-va,10,16,2,Impute then regress,0.8620887131424695
heart-disease-va,10,16,2,Augmented,0.885408979400886
heart-disease-va,10,16,2,Augmented Affine,0.8967827516470873
heart-disease-va,10,16,3,Impute then regress,0.6006009025687981
heart-disease-va,10,16,3,Augmented,0.6196523793912025
heart-disease-va,10,16,3,Augmented Affine,0.6020903865742133
heart-disease-va,10,16,4,Impute then regress,0.5436558047920056
heart-disease-va,10,16,4,Augmented,0.7898302920373144
heart-disease-va,10,16,4,Augmented Affine,0.6803631596880422
heart-disease-va,10,16,5,Impute then regress,0.879136830603796
heart-disease-va,10,16,5,Augmented,0.900610610427359
heart-disease-va,10,16,5,Augmented Affine,0.8885409558807418
