dataset,copynum,penalty,iter,method,osr2
hepatitis,19,1,1,Impute then regress,0.8167399882363209
hepatitis,19,1,1,Augmented,0.8474573029042933
hepatitis,19,1,1,Augmented Affine,0.8511513594469026
hepatitis,19,1,2,Impute then regress,0.8066605936027542
hepatitis,19,1,2,Augmented,0.5031711596239197
hepatitis,19,1,2,Augmented Affine,0.5138583518703903
hepatitis,19,1,3,Impute then regress,0.8623563532296098
hepatitis,19,1,3,Augmented,0.8292079513231767
hepatitis,19,1,3,Augmented Affine,0.795398998344943
hepatitis,19,1,4,Impute then regress,0.8792337724507827
hepatitis,19,1,4,Augmented,0.4586327150779448
hepatitis,19,1,4,Augmented Affine,0.617501260086737
hepatitis,19,1,5,Impute then regress,0.7331571697516888
hepatitis,19,1,5,Augmented,0.8726846221549656
hepatitis,19,1,5,Augmented Affine,0.8668571276365594
hepatitis,19,2,1,Impute then regress,0.7468923190200993
hepatitis,19,2,1,Augmented,0.2922401354884774
hepatitis,19,2,1,Augmented Affine,0.17137677316122868
hepatitis,19,2,2,Impute then regress,0.8182965211334803
hepatitis,19,2,2,Augmented,0.6626263374491722
hepatitis,19,2,2,Augmented Affine,0.6464349584038267
hepatitis,19,2,3,Impute then regress,0.37184984385260733
hepatitis,19,2,3,Augmented,0.27744596172790303
hepatitis,19,2,3,Augmented Affine,0.2626242655142217
hepatitis,19,2,4,Impute then regress,0.7607473822825789
hepatitis,19,2,4,Augmented,0.6010250824714987
hepatitis,19,2,4,Augmented Affine,0.7487762996593944
hepatitis,19,2,5,Impute then regress,0.8866450706431632
hepatitis,19,2,5,Augmented,0.8443303027890409
hepatitis,19,2,5,Augmented Affine,0.7775048600131451
hepatitis,19,4,1,Impute then regress,0.7051626777539477
hepatitis,19,4,1,Augmented,-0.25570640108530696
hepatitis,19,4,1,Augmented Affine,0.19127988800532425
hepatitis,19,4,2,Impute then regress,0.8829613618246623
hepatitis,19,4,2,Augmented,0.8013911565556628
hepatitis,19,4,2,Augmented Affine,0.8070823308291979
hepatitis,19,4,3,Impute then regress,0.8441343171279649
hepatitis,19,4,3,Augmented,0.3273618979303332
hepatitis,19,4,3,Augmented Affine,0.4098405002584895
hepatitis,19,4,4,Impute then regress,0.7769590304379751
hepatitis,19,4,4,Augmented,-0.3356937669743947
hepatitis,19,4,4,Augmented Affine,-0.9465977753856325
hepatitis,19,4,5,Impute then regress,0.8289756840716554
hepatitis,19,4,5,Augmented,0.23122127912481416
hepatitis,19,4,5,Augmented Affine,-1.6214993989121176
hepatitis,19,8,1,Impute then regress,0.6920352287974699
hepatitis,19,8,1,Augmented,0.7166084301678037
hepatitis,19,8,1,Augmented Affine,0.5886820449027483
hepatitis,19,8,2,Impute then regress,0.8103181099472011
hepatitis,19,8,2,Augmented,0.8548907884989508
hepatitis,19,8,2,Augmented Affine,0.8359991114115537
hepatitis,19,8,3,Impute then regress,0.5136575277918576
hepatitis,19,8,3,Augmented,0.1066102185723653
hepatitis,19,8,3,Augmented Affine,-0.08234018995279158
hepatitis,19,8,4,Impute then regress,0.8296379740662313
hepatitis,19,8,4,Augmented,0.8177596710371431
hepatitis,19,8,4,Augmented Affine,0.2397402344347681
hepatitis,19,8,5,Impute then regress,0.526858590974632
hepatitis,19,8,5,Augmented,0.48710763882166064
hepatitis,19,8,5,Augmented Affine,0.531481316270019
hepatitis,19,16,1,Impute then regress,0.7841110454566367
hepatitis,19,16,1,Augmented,0.03912803660420194
hepatitis,19,16,1,Augmented Affine,-0.0022461139620524317
hepatitis,19,16,2,Impute then regress,0.8285422147902248
hepatitis,19,16,2,Augmented,0.7371717379569345
hepatitis,19,16,2,Augmented Affine,0.5878711418756009
hepatitis,19,16,3,Impute then regress,0.7039701864277201
hepatitis,19,16,3,Augmented,0.27191605015081954
hepatitis,19,16,3,Augmented Affine,0.511803612781131
hepatitis,19,16,4,Impute then regress,0.7540191997033796
hepatitis,19,16,4,Augmented,0.7385709799988605
hepatitis,19,16,4,Augmented Affine,0.6456861159465612
hepatitis,19,16,5,Impute then regress,0.8615898822818788
hepatitis,19,16,5,Augmented,0.5384224477872912
hepatitis,19,16,5,Augmented Affine,0.38680659197720124
