dataset,copynum,penalty,iter,method,osr2
mammographic-mass,19,1,1,Impute then regress,0.8526992825392715
mammographic-mass,19,1,1,Augmented,0.9031711786566959
mammographic-mass,19,1,1,Augmented Affine,0.8997746024145999
mammographic-mass,19,1,2,Impute then regress,0.9235657099837342
mammographic-mass,19,1,2,Augmented,0.9330046980247042
mammographic-mass,19,1,2,Augmented Affine,0.9304702275060979
mammographic-mass,19,1,3,Impute then regress,0.9694635904778852
mammographic-mass,19,1,3,Augmented,0.9683339399659164
mammographic-mass,19,1,3,Augmented Affine,0.9678320022734783
mammographic-mass,19,1,4,Impute then regress,0.9670017647822039
mammographic-mass,19,1,4,Augmented,0.9658329157281157
mammographic-mass,19,1,4,Augmented Affine,0.9668521119703004
mammographic-mass,19,1,5,Impute then regress,0.9412630881754912
mammographic-mass,19,1,5,Augmented,0.9351071012387587
mammographic-mass,19,1,5,Augmented Affine,0.9375841157806332
mammographic-mass,19,2,1,Impute then regress,0.8298901184296453
mammographic-mass,19,2,1,Augmented,0.8722419956231707
mammographic-mass,19,2,1,Augmented Affine,0.8546547561859439
mammographic-mass,19,2,2,Impute then regress,0.941572051814481
mammographic-mass,19,2,2,Augmented,0.9165865684823609
mammographic-mass,19,2,2,Augmented Affine,0.9196029192506326
mammographic-mass,19,2,3,Impute then regress,0.8264112285973317
mammographic-mass,19,2,3,Augmented,0.8686982862347955
mammographic-mass,19,2,3,Augmented Affine,0.8579394072629907
mammographic-mass,19,2,4,Impute then regress,0.901264652079094
mammographic-mass,19,2,4,Augmented,0.9081118914461968
mammographic-mass,19,2,4,Augmented Affine,0.9042209833268914
mammographic-mass,19,2,5,Impute then regress,0.9665650724226589
mammographic-mass,19,2,5,Augmented,0.9702223964420894
mammographic-mass,19,2,5,Augmented Affine,0.9697948126709393
mammographic-mass,19,4,1,Impute then regress,0.9491292341997282
mammographic-mass,19,4,1,Augmented,0.9505497874757821
mammographic-mass,19,4,1,Augmented Affine,0.9501188442900962
mammographic-mass,19,4,2,Impute then regress,0.9511245671290554
mammographic-mass,19,4,2,Augmented,0.9563349100051501
mammographic-mass,19,4,2,Augmented Affine,0.951140667180864
mammographic-mass,19,4,3,Impute then regress,0.9275326094075361
mammographic-mass,19,4,3,Augmented,0.9278986222543824
mammographic-mass,19,4,3,Augmented Affine,0.9285042757921789
mammographic-mass,19,4,4,Impute then regress,0.9773685025569357
mammographic-mass,19,4,4,Augmented,0.976664355265397
mammographic-mass,19,4,4,Augmented Affine,0.9777967675648536
mammographic-mass,19,4,5,Impute then regress,0.9726115840690203
mammographic-mass,19,4,5,Augmented,0.975261767293839
mammographic-mass,19,4,5,Augmented Affine,0.9743537524230717
mammographic-mass,19,8,1,Impute then regress,0.8604636680964765
mammographic-mass,19,8,1,Augmented,0.9086929854639959
mammographic-mass,19,8,1,Augmented Affine,0.8939100567161596
mammographic-mass,19,8,2,Impute then regress,0.8527048136749424
mammographic-mass,19,8,2,Augmented,0.8727344416680173
mammographic-mass,19,8,2,Augmented Affine,0.8561360973488511
mammographic-mass,19,8,3,Impute then regress,0.6902704840881839
mammographic-mass,19,8,3,Augmented,0.810216674203682
mammographic-mass,19,8,3,Augmented Affine,0.7901266776364144
mammographic-mass,19,8,4,Impute then regress,0.949845544614003
mammographic-mass,19,8,4,Augmented,0.9487807405419872
mammographic-mass,19,8,4,Augmented Affine,0.9487336655771671
mammographic-mass,19,8,5,Impute then regress,0.9340848288971613
mammographic-mass,19,8,5,Augmented,0.9182571871547919
mammographic-mass,19,8,5,Augmented Affine,0.9223518612901158
mammographic-mass,19,16,1,Impute then regress,0.6329688167806351
mammographic-mass,19,16,1,Augmented,0.7173672488158109
mammographic-mass,19,16,1,Augmented Affine,0.6763508770003361
mammographic-mass,19,16,2,Impute then regress,0.9369091189016512
mammographic-mass,19,16,2,Augmented,0.9257230157827996
mammographic-mass,19,16,2,Augmented Affine,0.9284366817757773
mammographic-mass,19,16,3,Impute then regress,0.8741529766699132
mammographic-mass,19,16,3,Augmented,0.8890970027180648
mammographic-mass,19,16,3,Augmented Affine,0.8707031330801496
mammographic-mass,19,16,4,Impute then regress,0.7903121563688724
mammographic-mass,19,16,4,Augmented,0.8164311077921842
mammographic-mass,19,16,4,Augmented Affine,0.7844623198604604
mammographic-mass,19,16,5,Impute then regress,0.7920450353887714
mammographic-mass,19,16,5,Augmented,0.8332177423121854
mammographic-mass,19,16,5,Augmented Affine,0.8172851812107939
