dataset,copynum,penalty,iter,method,osr2
thyroid-disease-allhyper,20,1,1,Impute then regress,0.7745070016003134
thyroid-disease-allhyper,20,1,1,Augmented,0.8430858475634585
thyroid-disease-allhyper,20,1,1,Augmented Affine,0.8631548369761176
thyroid-disease-allhyper,20,1,2,Impute then regress,0.7536918081091974
thyroid-disease-allhyper,20,1,2,Augmented,0.8467344734379476
thyroid-disease-allhyper,20,1,2,Augmented Affine,0.8631030490952564
thyroid-disease-allhyper,20,1,3,Impute then regress,0.761147000813125
thyroid-disease-allhyper,20,1,3,Augmented,0.826000297782307
thyroid-disease-allhyper,20,1,3,Augmented Affine,0.8363825507876497
thyroid-disease-allhyper,20,1,4,Impute then regress,0.7212469431387734
thyroid-disease-allhyper,20,1,4,Augmented,0.8523650885450971
thyroid-disease-allhyper,20,1,4,Augmented Affine,0.862222996595107
thyroid-disease-allhyper,20,1,5,Impute then regress,0.8240179841007033
thyroid-disease-allhyper,20,1,5,Augmented,0.8684628625124715
thyroid-disease-allhyper,20,1,5,Augmented Affine,0.8860394133219517
thyroid-disease-allhyper,20,2,1,Impute then regress,0.5961934603951564
thyroid-disease-allhyper,20,2,1,Augmented,0.6764553618752875
thyroid-disease-allhyper,20,2,1,Augmented Affine,0.7467942986659774
thyroid-disease-allhyper,20,2,2,Impute then regress,0.7948847794843061
thyroid-disease-allhyper,20,2,2,Augmented,0.8367295693525375
thyroid-disease-allhyper,20,2,2,Augmented Affine,0.8454261591575534
thyroid-disease-allhyper,20,2,3,Impute then regress,0.8075548301174593
thyroid-disease-allhyper,20,2,3,Augmented,0.8700846676668961
thyroid-disease-allhyper,20,2,3,Augmented Affine,0.8734620874090204
thyroid-disease-allhyper,20,2,4,Impute then regress,0.7704197959801409
thyroid-disease-allhyper,20,2,4,Augmented,0.8246808960063116
thyroid-disease-allhyper,20,2,4,Augmented Affine,0.8303497482033517
thyroid-disease-allhyper,20,2,5,Impute then regress,0.8425244585859525
thyroid-disease-allhyper,20,2,5,Augmented,0.8819409932895851
thyroid-disease-allhyper,20,2,5,Augmented Affine,0.8816595921764057
thyroid-disease-allhyper,20,4,1,Impute then regress,0.730845617214309
thyroid-disease-allhyper,20,4,1,Augmented,0.8361091329027357
thyroid-disease-allhyper,20,4,1,Augmented Affine,0.837302491368625
thyroid-disease-allhyper,20,4,2,Impute then regress,0.8633110312567712
thyroid-disease-allhyper,20,4,2,Augmented,0.8887291005406808
thyroid-disease-allhyper,20,4,2,Augmented Affine,0.8914376519135321
thyroid-disease-allhyper,20,4,3,Impute then regress,0.7520567987277482
thyroid-disease-allhyper,20,4,3,Augmented,0.8245775555911405
thyroid-disease-allhyper,20,4,3,Augmented Affine,0.8309239961327997
thyroid-disease-allhyper,20,4,4,Impute then regress,0.7628064210034166
thyroid-disease-allhyper,20,4,4,Augmented,0.8029192940293872
thyroid-disease-allhyper,20,4,4,Augmented Affine,0.8227111402013141
thyroid-disease-allhyper,20,4,5,Impute then regress,0.8197585410130435
thyroid-disease-allhyper,20,4,5,Augmented,0.8701146850227888
thyroid-disease-allhyper,20,4,5,Augmented Affine,0.8730536510212963
thyroid-disease-allhyper,20,8,1,Impute then regress,0.8043864711597702
thyroid-disease-allhyper,20,8,1,Augmented,0.8575881894039682
thyroid-disease-allhyper,20,8,1,Augmented Affine,0.855947833441684
thyroid-disease-allhyper,20,8,2,Impute then regress,0.917803940370826
thyroid-disease-allhyper,20,8,2,Augmented,0.9190535299698555
thyroid-disease-allhyper,20,8,2,Augmented Affine,0.9189837090024605
thyroid-disease-allhyper,20,8,3,Impute then regress,0.746902004265521
thyroid-disease-allhyper,20,8,3,Augmented,0.8130901585066166
thyroid-disease-allhyper,20,8,3,Augmented Affine,0.824817375773679
thyroid-disease-allhyper,20,8,4,Impute then regress,0.7969105843248183
thyroid-disease-allhyper,20,8,4,Augmented,0.8448824988927328
thyroid-disease-allhyper,20,8,4,Augmented Affine,0.8469597268022673
thyroid-disease-allhyper,20,8,5,Impute then regress,0.8336122378783661
thyroid-disease-allhyper,20,8,5,Augmented,0.8639484043643377
thyroid-disease-allhyper,20,8,5,Augmented Affine,0.8679365274997064
thyroid-disease-allhyper,20,16,1,Impute then regress,0.7395370748074002
thyroid-disease-allhyper,20,16,1,Augmented,0.8587569920113186
thyroid-disease-allhyper,20,16,1,Augmented Affine,0.8660812969982958
thyroid-disease-allhyper,20,16,2,Impute then regress,0.8259495221062808
thyroid-disease-allhyper,20,16,2,Augmented,0.8527469989658901
thyroid-disease-allhyper,20,16,2,Augmented Affine,0.8594439168263943
thyroid-disease-allhyper,20,16,3,Impute then regress,0.8050478565719975
thyroid-disease-allhyper,20,16,3,Augmented,0.8563109144798584
thyroid-disease-allhyper,20,16,3,Augmented Affine,0.8577841688245192
thyroid-disease-allhyper,20,16,4,Impute then regress,0.7591154961557917
thyroid-disease-allhyper,20,16,4,Augmented,0.823789124918923
thyroid-disease-allhyper,20,16,4,Augmented Affine,0.8293710955943627
thyroid-disease-allhyper,20,16,5,Impute then regress,0.6714429757434605
thyroid-disease-allhyper,20,16,5,Augmented,0.7768715801548932
thyroid-disease-allhyper,20,16,5,Augmented Affine,0.7865633039970701
