dataset,copynum,penalty,iter,method,osr2
thyroid-disease-allhypo,14,1,1,Impute then regress,0.7184286708488502
thyroid-disease-allhypo,14,1,1,Augmented,0.8143945777405036
thyroid-disease-allhypo,14,1,1,Augmented Affine,0.8371774471836362
thyroid-disease-allhypo,14,1,2,Impute then regress,0.8581458067522454
thyroid-disease-allhypo,14,1,2,Augmented,0.8980959356026267
thyroid-disease-allhypo,14,1,2,Augmented Affine,0.9012036569351749
thyroid-disease-allhypo,14,1,3,Impute then regress,0.8546174582316427
thyroid-disease-allhypo,14,1,3,Augmented,0.8874290768978621
thyroid-disease-allhypo,14,1,3,Augmented Affine,0.890171324753602
thyroid-disease-allhypo,14,1,4,Impute then regress,0.8233847112548357
thyroid-disease-allhypo,14,1,4,Augmented,0.8832072704254967
thyroid-disease-allhypo,14,1,4,Augmented Affine,0.8790080962665048
thyroid-disease-allhypo,14,1,5,Impute then regress,0.6909900731779226
thyroid-disease-allhypo,14,1,5,Augmented,0.8318057015875095
thyroid-disease-allhypo,14,1,5,Augmented Affine,0.8361502265037141
thyroid-disease-allhypo,14,2,1,Impute then regress,0.43564313024094126
thyroid-disease-allhypo,14,2,1,Augmented,0.8250532784807122
thyroid-disease-allhypo,14,2,1,Augmented Affine,0.8272913727596043
thyroid-disease-allhypo,14,2,2,Impute then regress,0.8251693193330111
thyroid-disease-allhypo,14,2,2,Augmented,0.844302217505325
thyroid-disease-allhypo,14,2,2,Augmented Affine,0.8446825539110305
thyroid-disease-allhypo,14,2,3,Impute then regress,0.813742995428852
thyroid-disease-allhypo,14,2,3,Augmented,0.8593648663995395
thyroid-disease-allhypo,14,2,3,Augmented Affine,0.8612523397095048
thyroid-disease-allhypo,14,2,4,Impute then regress,0.8026479337424135
thyroid-disease-allhypo,14,2,4,Augmented,0.8481378447346793
thyroid-disease-allhypo,14,2,4,Augmented Affine,0.8584179978227156
thyroid-disease-allhypo,14,2,5,Impute then regress,0.7415861059590128
thyroid-disease-allhypo,14,2,5,Augmented,0.8251937328377341
thyroid-disease-allhypo,14,2,5,Augmented Affine,0.8424139270173651
thyroid-disease-allhypo,14,4,1,Impute then regress,0.7639844050773033
thyroid-disease-allhypo,14,4,1,Augmented,0.8834004503271973
thyroid-disease-allhypo,14,4,1,Augmented Affine,0.8825412129708934
thyroid-disease-allhypo,14,4,2,Impute then regress,0.8730227052617847
thyroid-disease-allhypo,14,4,2,Augmented,0.8891050056246326
thyroid-disease-allhypo,14,4,2,Augmented Affine,0.891124590962861
thyroid-disease-allhypo,14,4,3,Impute then regress,0.7746193035330712
thyroid-disease-allhypo,14,4,3,Augmented,0.8239558518240788
thyroid-disease-allhypo,14,4,3,Augmented Affine,0.8173216883475364
thyroid-disease-allhypo,14,4,4,Impute then regress,0.8463627677366479
thyroid-disease-allhypo,14,4,4,Augmented,0.8754331829310265
thyroid-disease-allhypo,14,4,4,Augmented Affine,0.8724578973556545
thyroid-disease-allhypo,14,4,5,Impute then regress,0.7242918598810479
thyroid-disease-allhypo,14,4,5,Augmented,0.8062019480449486
thyroid-disease-allhypo,14,4,5,Augmented Affine,0.8188576134591107
thyroid-disease-allhypo,14,8,1,Impute then regress,0.8411358853424077
thyroid-disease-allhypo,14,8,1,Augmented,0.8871465938813872
thyroid-disease-allhypo,14,8,1,Augmented Affine,0.883885738109179
thyroid-disease-allhypo,14,8,2,Impute then regress,0.7884651773180871
thyroid-disease-allhypo,14,8,2,Augmented,0.8300966065453502
thyroid-disease-allhypo,14,8,2,Augmented Affine,0.8319877884957255
thyroid-disease-allhypo,14,8,3,Impute then regress,0.76584327170792
thyroid-disease-allhypo,14,8,3,Augmented,0.833473558860554
thyroid-disease-allhypo,14,8,3,Augmented Affine,0.8288711737430541
thyroid-disease-allhypo,14,8,4,Impute then regress,0.7189616822218224
thyroid-disease-allhypo,14,8,4,Augmented,0.8060789265651144
thyroid-disease-allhypo,14,8,4,Augmented Affine,0.8128305788943507
thyroid-disease-allhypo,14,8,5,Impute then regress,0.7730338573510424
thyroid-disease-allhypo,14,8,5,Augmented,0.847582863932972
thyroid-disease-allhypo,14,8,5,Augmented Affine,0.8482772092418747
thyroid-disease-allhypo,14,16,1,Impute then regress,0.7160925030039691
thyroid-disease-allhypo,14,16,1,Augmented,0.7815064270372375
thyroid-disease-allhypo,14,16,1,Augmented Affine,0.7856829427977473
thyroid-disease-allhypo,14,16,2,Impute then regress,0.8171082350218599
thyroid-disease-allhypo,14,16,2,Augmented,0.8713399480090096
thyroid-disease-allhypo,14,16,2,Augmented Affine,0.8722052032743834
thyroid-disease-allhypo,14,16,3,Impute then regress,0.679913692711797
thyroid-disease-allhypo,14,16,3,Augmented,0.7535005108232112
thyroid-disease-allhypo,14,16,3,Augmented Affine,0.7710963320015294
thyroid-disease-allhypo,14,16,4,Impute then regress,0.8159675359370254
thyroid-disease-allhypo,14,16,4,Augmented,0.8716773907786608
thyroid-disease-allhypo,14,16,4,Augmented Affine,0.8700245103693485
thyroid-disease-allhypo,14,16,5,Impute then regress,0.8314920587301606
thyroid-disease-allhypo,14,16,5,Augmented,0.8542071563292711
thyroid-disease-allhypo,14,16,5,Augmented Affine,0.8679099753637314
