dataset,copynum,penalty,iter,method,osr2
thyroid-disease-allrep,16,1,1,Impute then regress,0.7491675645741518
thyroid-disease-allrep,16,1,1,Augmented,0.8331247213975004
thyroid-disease-allrep,16,1,1,Augmented Affine,0.8303918280580391
thyroid-disease-allrep,16,1,2,Impute then regress,0.8338886916042244
thyroid-disease-allrep,16,1,2,Augmented,0.8338229121570865
thyroid-disease-allrep,16,1,2,Augmented Affine,0.8634386748548196
thyroid-disease-allrep,16,1,3,Impute then regress,0.8634165523483217
thyroid-disease-allrep,16,1,3,Augmented,0.8823947072209144
thyroid-disease-allrep,16,1,3,Augmented Affine,0.8805542196376505
thyroid-disease-allrep,16,1,4,Impute then regress,0.849150015845094
thyroid-disease-allrep,16,1,4,Augmented,0.8683694146223322
thyroid-disease-allrep,16,1,4,Augmented Affine,0.8744767196728302
thyroid-disease-allrep,16,1,5,Impute then regress,0.7044956657543224
thyroid-disease-allrep,16,1,5,Augmented,0.7846479428349002
thyroid-disease-allrep,16,1,5,Augmented Affine,0.790653767484301
thyroid-disease-allrep,16,2,1,Impute then regress,0.8348364366676202
thyroid-disease-allrep,16,2,1,Augmented,0.8708312707234531
thyroid-disease-allrep,16,2,1,Augmented Affine,0.8837241779262698
thyroid-disease-allrep,16,2,2,Impute then regress,0.7029910482003929
thyroid-disease-allrep,16,2,2,Augmented,0.7311168586244119
thyroid-disease-allrep,16,2,2,Augmented Affine,0.7382453382060259
thyroid-disease-allrep,16,2,3,Impute then regress,0.8121625711122148
thyroid-disease-allrep,16,2,3,Augmented,0.8800801409165947
thyroid-disease-allrep,16,2,3,Augmented Affine,0.8804575214829629
thyroid-disease-allrep,16,2,4,Impute then regress,0.7792938881738616
thyroid-disease-allrep,16,2,4,Augmented,0.7944150477879602
thyroid-disease-allrep,16,2,4,Augmented Affine,0.8156651510953518
thyroid-disease-allrep,16,2,5,Impute then regress,0.8677975460277536
thyroid-disease-allrep,16,2,5,Augmented,0.8792765848635131
thyroid-disease-allrep,16,2,5,Augmented Affine,0.8802026535145782
thyroid-disease-allrep,16,4,1,Impute then regress,0.7116475765394316
thyroid-disease-allrep,16,4,1,Augmented,0.7944844492221721
thyroid-disease-allrep,16,4,1,Augmented Affine,0.8205255625576509
thyroid-disease-allrep,16,4,2,Impute then regress,0.813697605546456
thyroid-disease-allrep,16,4,2,Augmented,0.8548436007554523
thyroid-disease-allrep,16,4,2,Augmented Affine,0.8523804954449143
thyroid-disease-allrep,16,4,3,Impute then regress,0.8035684367379352
thyroid-disease-allrep,16,4,3,Augmented,0.8565415551600042
thyroid-disease-allrep,16,4,3,Augmented Affine,0.8574328670326441
thyroid-disease-allrep,16,4,4,Impute then regress,0.8696692996526241
thyroid-disease-allrep,16,4,4,Augmented,0.9040845617458666
thyroid-disease-allrep,16,4,4,Augmented Affine,0.9027427561847796
thyroid-disease-allrep,16,4,5,Impute then regress,0.7287024461161593
thyroid-disease-allrep,16,4,5,Augmented,0.8555369888727555
thyroid-disease-allrep,16,4,5,Augmented Affine,0.857325603895458
thyroid-disease-allrep,16,8,1,Impute then regress,0.7988485548789058
thyroid-disease-allrep,16,8,1,Augmented,0.8191894007679876
thyroid-disease-allrep,16,8,1,Augmented Affine,0.8283084702297805
thyroid-disease-allrep,16,8,2,Impute then regress,0.6946545899763055
thyroid-disease-allrep,16,8,2,Augmented,0.6723633122538912
thyroid-disease-allrep,16,8,2,Augmented Affine,0.7504380983148444
thyroid-disease-allrep,16,8,3,Impute then regress,0.8207822466579164
thyroid-disease-allrep,16,8,3,Augmented,0.8512901069165603
thyroid-disease-allrep,16,8,3,Augmented Affine,0.8511059892397921
thyroid-disease-allrep,16,8,4,Impute then regress,0.7248207267265006
thyroid-disease-allrep,16,8,4,Augmented,0.7898192790205689
thyroid-disease-allrep,16,8,4,Augmented Affine,0.7923474248123437
thyroid-disease-allrep,16,8,5,Impute then regress,0.8441020705382734
thyroid-disease-allrep,16,8,5,Augmented,0.8676187765817224
thyroid-disease-allrep,16,8,5,Augmented Affine,0.8842251277201599
thyroid-disease-allrep,16,16,1,Impute then regress,0.9021027043063106
thyroid-disease-allrep,16,16,1,Augmented,0.9014012334849373
thyroid-disease-allrep,16,16,1,Augmented Affine,0.9057474859189866
thyroid-disease-allrep,16,16,2,Impute then regress,0.7977091040934763
thyroid-disease-allrep,16,16,2,Augmented,0.7998086288157005
thyroid-disease-allrep,16,16,2,Augmented Affine,0.8368834579407729
thyroid-disease-allrep,16,16,3,Impute then regress,0.7618002612676313
thyroid-disease-allrep,16,16,3,Augmented,0.7736886641665531
thyroid-disease-allrep,16,16,3,Augmented Affine,0.8148981966278673
thyroid-disease-allrep,16,16,4,Impute then regress,0.6409673842555916
thyroid-disease-allrep,16,16,4,Augmented,0.6522938768699295
thyroid-disease-allrep,16,16,4,Augmented Affine,0.719394560369715
thyroid-disease-allrep,16,16,5,Impute then regress,0.78975850254364
thyroid-disease-allrep,16,16,5,Augmented,0.8122760599333108
thyroid-disease-allrep,16,16,5,Augmented Affine,0.8456920533725785
