dataset,copynum,penalty,iter,method,osr2
thyroid-disease-sick-euthyroid,12,1,1,Impute then regress,0.682017615294819
thyroid-disease-sick-euthyroid,12,1,1,Augmented,0.7174473978871306
thyroid-disease-sick-euthyroid,12,1,1,Augmented Affine,0.7374999688903451
thyroid-disease-sick-euthyroid,12,1,2,Impute then regress,0.8527440519603114
thyroid-disease-sick-euthyroid,12,1,2,Augmented,0.8752805106207197
thyroid-disease-sick-euthyroid,12,1,2,Augmented Affine,0.8746674982548135
thyroid-disease-sick-euthyroid,12,1,3,Impute then regress,0.6169758624964132
thyroid-disease-sick-euthyroid,12,1,3,Augmented,0.6698078172042528
thyroid-disease-sick-euthyroid,12,1,3,Augmented Affine,0.6890800597035313
thyroid-disease-sick-euthyroid,12,1,4,Impute then regress,0.3077004171173816
thyroid-disease-sick-euthyroid,12,1,4,Augmented,0.8563791980963456
thyroid-disease-sick-euthyroid,12,1,4,Augmented Affine,0.8654272849732576
thyroid-disease-sick-euthyroid,12,1,5,Impute then regress,0.7714206763204647
thyroid-disease-sick-euthyroid,12,1,5,Augmented,0.8361657167563887
thyroid-disease-sick-euthyroid,12,1,5,Augmented Affine,0.8385305070179176
thyroid-disease-sick-euthyroid,12,2,1,Impute then regress,0.6154577895703767
thyroid-disease-sick-euthyroid,12,2,1,Augmented,0.7330534456216731
thyroid-disease-sick-euthyroid,12,2,1,Augmented Affine,0.7326455494394917
thyroid-disease-sick-euthyroid,12,2,2,Impute then regress,0.703675625788643
thyroid-disease-sick-euthyroid,12,2,2,Augmented,0.7933257991602297
thyroid-disease-sick-euthyroid,12,2,2,Augmented Affine,0.7970130217154157
thyroid-disease-sick-euthyroid,12,2,3,Impute then regress,0.6232493721160883
thyroid-disease-sick-euthyroid,12,2,3,Augmented,0.7158587719453268
thyroid-disease-sick-euthyroid,12,2,3,Augmented Affine,0.7141138711125036
thyroid-disease-sick-euthyroid,12,2,4,Impute then regress,0.777787861508413
thyroid-disease-sick-euthyroid,12,2,4,Augmented,0.830192388467802
thyroid-disease-sick-euthyroid,12,2,4,Augmented Affine,0.8374116351795419
thyroid-disease-sick-euthyroid,12,2,5,Impute then regress,0.7526912960749792
thyroid-disease-sick-euthyroid,12,2,5,Augmented,0.839359407047978
thyroid-disease-sick-euthyroid,12,2,5,Augmented Affine,0.841821772091571
