dataset,copynum,penalty,iter,method,osr2
thyroid-disease-sick,19,1,1,Impute then regress,0.852044197966777
thyroid-disease-sick,19,1,1,Augmented,0.9066002892139072
thyroid-disease-sick,19,1,1,Augmented Affine,0.9053656193890298
thyroid-disease-sick,19,1,2,Impute then regress,0.8446404187761373
thyroid-disease-sick,19,1,2,Augmented,0.8906763293154029
thyroid-disease-sick,19,1,2,Augmented Affine,0.8877106317720184
thyroid-disease-sick,19,1,3,Impute then regress,0.88737060365227
thyroid-disease-sick,19,1,3,Augmented,0.9157389811736448
thyroid-disease-sick,19,1,3,Augmented Affine,0.9086453797232669
thyroid-disease-sick,19,1,4,Impute then regress,0.8511455725157339
thyroid-disease-sick,19,1,4,Augmented,0.8835974256207388
thyroid-disease-sick,19,1,4,Augmented Affine,0.8894164073806337
thyroid-disease-sick,19,1,5,Impute then regress,0.7401140304784715
thyroid-disease-sick,19,1,5,Augmented,0.8256524622433685
thyroid-disease-sick,19,1,5,Augmented Affine,0.8430357232924837
thyroid-disease-sick,19,2,1,Impute then regress,0.9201355727334373
thyroid-disease-sick,19,2,1,Augmented,0.9374996351809416
thyroid-disease-sick,19,2,1,Augmented Affine,0.9368663152947959
thyroid-disease-sick,19,2,2,Impute then regress,0.7225782534392192
thyroid-disease-sick,19,2,2,Augmented,0.8497100893424521
thyroid-disease-sick,19,2,2,Augmented Affine,0.8368786232002301
thyroid-disease-sick,19,2,3,Impute then regress,0.8215808532020087
thyroid-disease-sick,19,2,3,Augmented,0.8061796212156438
thyroid-disease-sick,19,2,3,Augmented Affine,0.8651783787556357
thyroid-disease-sick,19,2,4,Impute then regress,0.8297951523049514
thyroid-disease-sick,19,2,4,Augmented,0.8825212051292721
thyroid-disease-sick,19,2,4,Augmented Affine,0.8810525683976463
thyroid-disease-sick,19,2,5,Impute then regress,0.877849378106367
thyroid-disease-sick,19,2,5,Augmented,0.8966328382267377
thyroid-disease-sick,19,2,5,Augmented Affine,0.8932953932072352
thyroid-disease-sick,19,4,1,Impute then regress,0.8227072489962852
thyroid-disease-sick,19,4,1,Augmented,0.8648522501960125
thyroid-disease-sick,19,4,1,Augmented Affine,0.8616604449467669
thyroid-disease-sick,19,4,2,Impute then regress,0.9172579220222745
thyroid-disease-sick,19,4,2,Augmented,0.9363908361493052
thyroid-disease-sick,19,4,2,Augmented Affine,0.9383239742165759
thyroid-disease-sick,19,4,3,Impute then regress,0.7708076549322896
thyroid-disease-sick,19,4,3,Augmented,0.8265835439448804
thyroid-disease-sick,19,4,3,Augmented Affine,0.8335790934859517
thyroid-disease-sick,19,4,4,Impute then regress,0.8461266312832435
thyroid-disease-sick,19,4,4,Augmented,0.9018103543342861
thyroid-disease-sick,19,4,4,Augmented Affine,0.9024851762805463
thyroid-disease-sick,19,4,5,Impute then regress,0.7980774843892386
thyroid-disease-sick,19,4,5,Augmented,0.8518486217376128
thyroid-disease-sick,19,4,5,Augmented Affine,0.852786645665281
thyroid-disease-sick,19,8,1,Impute then regress,0.7553891292921557
thyroid-disease-sick,19,8,1,Augmented,0.8327259894465174
thyroid-disease-sick,19,8,1,Augmented Affine,0.826538059887805
thyroid-disease-sick,19,8,2,Impute then regress,0.7769013927271147
thyroid-disease-sick,19,8,2,Augmented,0.8381895550649334
thyroid-disease-sick,19,8,2,Augmented Affine,0.8316464693534897
thyroid-disease-sick,19,8,3,Impute then regress,0.789348541941825
thyroid-disease-sick,19,8,3,Augmented,0.8746696982624939
thyroid-disease-sick,19,8,3,Augmented Affine,0.8698621041455837
thyroid-disease-sick,19,8,4,Impute then regress,0.798274563934776
thyroid-disease-sick,19,8,4,Augmented,0.8462623523738365
thyroid-disease-sick,19,8,4,Augmented Affine,0.8475660388077051
thyroid-disease-sick,19,8,5,Impute then regress,0.898407210840767
thyroid-disease-sick,19,8,5,Augmented,0.933528066453076
thyroid-disease-sick,19,8,5,Augmented Affine,0.9348451015221296
thyroid-disease-sick,19,16,1,Impute then regress,0.9062294492670673
thyroid-disease-sick,19,16,1,Augmented,0.9407195205959342
thyroid-disease-sick,19,16,1,Augmented Affine,0.9403392025827881
thyroid-disease-sick,19,16,2,Impute then regress,0.8371988207063441
thyroid-disease-sick,19,16,2,Augmented,0.8634802395691141
thyroid-disease-sick,19,16,2,Augmented Affine,0.8745236271382199
thyroid-disease-sick,19,16,3,Impute then regress,0.8673035858456672
thyroid-disease-sick,19,16,3,Augmented,0.9095299841138342
thyroid-disease-sick,19,16,3,Augmented Affine,0.9102303463987016
thyroid-disease-sick,19,16,4,Impute then regress,0.8911679645688837
thyroid-disease-sick,19,16,4,Augmented,0.9149707673533753
thyroid-disease-sick,19,16,4,Augmented Affine,0.9182154979212003
thyroid-disease-sick,19,16,5,Impute then regress,0.8637166176671744
thyroid-disease-sick,19,16,5,Augmented,0.9028064950219785
thyroid-disease-sick,19,16,5,Augmented Affine,0.8994862098188121
