dataset,copynum,penalty,iter,method,osr2
thyroid-disease-thyroid-0387,20,1,1,Impute then regress,0.7282607893033088
thyroid-disease-thyroid-0387,20,1,1,Augmented,0.7540170447242754
thyroid-disease-thyroid-0387,20,1,1,Augmented Affine,0.732389496609435
thyroid-disease-thyroid-0387,20,1,2,Impute then regress,0.748427822849115
thyroid-disease-thyroid-0387,20,1,2,Augmented,0.7707268175613035
thyroid-disease-thyroid-0387,20,1,2,Augmented Affine,0.7701821169839851
thyroid-disease-thyroid-0387,20,1,3,Impute then regress,0.8950603131998508
thyroid-disease-thyroid-0387,20,1,3,Augmented,0.9001137422203015
thyroid-disease-thyroid-0387,20,1,3,Augmented Affine,-12.921566121039074
thyroid-disease-thyroid-0387,20,1,4,Impute then regress,0.4027072060527832
thyroid-disease-thyroid-0387,20,1,4,Augmented,0.44529667894782665
thyroid-disease-thyroid-0387,20,1,4,Augmented Affine,0.12358210304396666
thyroid-disease-thyroid-0387,20,1,5,Impute then regress,0.8835405542948415
thyroid-disease-thyroid-0387,20,1,5,Augmented,0.9081705934239497
thyroid-disease-thyroid-0387,20,1,5,Augmented Affine,-0.6069182511611193
thyroid-disease-thyroid-0387,20,2,1,Impute then regress,0.7803069396416189
thyroid-disease-thyroid-0387,20,2,1,Augmented,0.6745431784280091
thyroid-disease-thyroid-0387,20,2,1,Augmented Affine,0.6745431784280093
thyroid-disease-thyroid-0387,20,2,2,Impute then regress,0.9352410806987591
thyroid-disease-thyroid-0387,20,2,2,Augmented,0.9479604639333481
thyroid-disease-thyroid-0387,20,2,2,Augmented Affine,0.8884486117992161
thyroid-disease-thyroid-0387,20,2,3,Impute then regress,0.8651667386424945
thyroid-disease-thyroid-0387,20,2,3,Augmented,0.8864461928125006
thyroid-disease-thyroid-0387,20,2,3,Augmented Affine,0.8566557080657449
thyroid-disease-thyroid-0387,20,2,4,Impute then regress,0.48906150148863803
thyroid-disease-thyroid-0387,20,2,4,Augmented,0.5209472923427194
thyroid-disease-thyroid-0387,20,2,4,Augmented Affine,-0.543936158952222
thyroid-disease-thyroid-0387,20,2,5,Impute then regress,0.7895063581893227
thyroid-disease-thyroid-0387,20,2,5,Augmented,0.8053566485802411
thyroid-disease-thyroid-0387,20,2,5,Augmented Affine,0.8068771134194153
thyroid-disease-thyroid-0387,20,4,1,Impute then regress,0.8235815305890428
thyroid-disease-thyroid-0387,20,4,1,Augmented,0.8545756398985772
thyroid-disease-thyroid-0387,20,4,1,Augmented Affine,0.8548106438746207
thyroid-disease-thyroid-0387,20,4,2,Impute then regress,0.8207171486364085
thyroid-disease-thyroid-0387,20,4,2,Augmented,0.8447084306860019
thyroid-disease-thyroid-0387,20,4,2,Augmented Affine,-12.663361529663531
thyroid-disease-thyroid-0387,20,4,3,Impute then regress,0.7532327055154104
thyroid-disease-thyroid-0387,20,4,3,Augmented,0.7316309498071348
thyroid-disease-thyroid-0387,20,4,3,Augmented Affine,0.37144143225420556
thyroid-disease-thyroid-0387,20,4,4,Impute then regress,0.24208439082780953
thyroid-disease-thyroid-0387,20,4,4,Augmented,0.28640702922933703
thyroid-disease-thyroid-0387,20,4,4,Augmented Affine,-1.379714681185348
thyroid-disease-thyroid-0387,20,4,5,Impute then regress,0.8765891993786875
thyroid-disease-thyroid-0387,20,4,5,Augmented,0.9042198998286012
thyroid-disease-thyroid-0387,20,4,5,Augmented Affine,0.8414084134153429
thyroid-disease-thyroid-0387,20,8,1,Impute then regress,0.877633400105641
thyroid-disease-thyroid-0387,20,8,1,Augmented,0.8841456766159017
thyroid-disease-thyroid-0387,20,8,1,Augmented Affine,0.884220657174452
thyroid-disease-thyroid-0387,20,8,2,Impute then regress,0.3946543624637774
thyroid-disease-thyroid-0387,20,8,2,Augmented,0.27422395474297223
thyroid-disease-thyroid-0387,20,8,2,Augmented Affine,0.27422395474297223
thyroid-disease-thyroid-0387,20,8,3,Impute then regress,0.654339322098175
thyroid-disease-thyroid-0387,20,8,3,Augmented,0.5381096212407172
thyroid-disease-thyroid-0387,20,8,3,Augmented Affine,-15.429649002641018
thyroid-disease-thyroid-0387,20,8,4,Impute then regress,0.7236456882800805
